"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUAURA",,,,,,,,
"Hogares (001)",49749,35545,36643,17494,6004,19910,6968,5020
"Ocupantes presentes (002)",194738,143003,152253,75609,25991,85891,30462,14475
"Casa independiente",,,,,,,,
"Hogares (004)",45397,32595,33611,16051,5360,18366,6224,4440
"Ocupantes presentes (005)",179767,132475,141185,70196,23538,79949,27703,12898
"Departamento en edificio",,,,,,,,
"Hogares (007)",1172,870,1060,610,365,687,416,50
"Ocupantes presentes (008)",3742,2894,3499,2095,1342,2442,1490,100
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1081,775,940,480,198,545,222,60
"Ocupantes presentes (011)",3876,2798,3515,1860,781,2155,857,139
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",791,510,603,239,75,236,87,92
"Ocupantes presentes (014)",2869,1949,2361,1016,308,1018,356,235
"Choza o cabaña",,,,,,,,
"Hogares (016)",495,327,34,8,,3,,162
"Ocupantes presentes (017)",1611,1157,141,22,,11,,430
"Vivienda improvisada",,,,,,,,
"Hogares (019)",719,407,336,80,2,44,5,200
"Ocupantes presentes (020)",2605,1543,1363,328,6,214,23,632
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",90,61,59,26,4,29,14,12
"Ocupantes presentes (023)",262,187,189,92,16,102,33,35
"Otro tipo",,,,,,,,
"Hogares (025)",4,,,,,,,4
"Ocupantes presentes (026)",6,,,,,,,6
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",42493,30188,34324,16838,5957,19328,6908,3666
"Ocupantes presentes (029)",168150,122500,142789,72840,25773,83410,30195,10492
"Casa independiente",,,,,,,,
"Hogares (031)",38648,27570,31330,15404,5313,17787,6165,3253
"Ocupantes presentes (032)",154831,113145,131875,67453,23320,77479,27437,9365
"Departamento en edificio",,,,,,,,
"Hogares (034)",1172,870,1060,610,365,687,416,50
"Ocupantes presentes (035)",3742,2894,3499,2095,1342,2442,1490,100
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1081,775,940,480,198,545,222,60
"Ocupantes presentes (038)",3876,2798,3515,1860,781,2155,857,139
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",791,510,603,239,75,236,87,92
"Ocupantes presentes (041)",2869,1949,2361,1016,308,1018,356,235
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",719,407,336,80,2,44,5,200
"Ocupantes presentes (047)",2605,1543,1363,328,6,214,23,632
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",78,56,55,25,4,29,13,7
"Ocupantes presentes (050)",221,171,176,88,16,102,32,15
"Otro tipo",,,,,,,,
"Hogares (052)",4,,,,,,,4
"Ocupantes presentes (053)",6,,,,,,,6
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",7256,5357,2319,656,47,582,60,1354
"Ocupantes presentes (056)",26588,20503,9464,2769,218,2481,267,3983
"Casa independiente",,,,,,,,
"Hogares (058)",6749,5025,2281,647,47,579,59,1187
"Ocupantes presentes (059)",24936,19330,9310,2743,218,2470,266,3533
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",495,327,34,8,,3,,162
"Ocupantes presentes (071)",1611,1157,141,22,,11,,430
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",12,5,4,1,,,1,5
"Ocupantes presentes (077)",41,16,13,4,,,1,20
"Otro tipo",,,,,,,,
