"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",6732,62,1967,2469,839,293,129,50,8,,915
"Conviviente (001)",2017,21,670,763,228,69,33,2,2,,229
"Separado(a) (002)",206,3,56,74,34,6,8,1,,,24
"Casado(a) (003)",3058,19,905,1210,427,153,63,31,5,,245
"Viudo(a) (004)",614,11,194,224,69,32,11,11,1,,61
"Divorciado(a) (005)",32,,8,15,4,2,,,,,3
"Soltero(a) (006)",805,8,134,183,77,31,14,5,,,353
,,,,,,,,,,,
"URBANA (008)",2985,29,840,1082,381,151,73,23,3,,403
"Conviviente (009)",951,9,308,355,108,41,17,2,1,,110
"Separado(a) (010)",117,1,31,44,21,3,7,1,,,9
"Casado(a) (011)",1310,10,380,503,194,79,35,13,1,,95
"Viudo(a) (012)",236,5,73,84,22,17,5,5,1,,24
"Divorciado(a) (013)",20,,4,10,2,2,,,,,2
"Soltero(a) (014)",351,4,44,86,34,9,9,2,,,163
,,,,,,,,,,,
"RURAL (016)",3747,33,1127,1387,458,142,56,27,5,,512
"Conviviente (017)",1066,12,362,408,120,28,16,,1,,119
"Separado(a) (018)",89,2,25,30,13,3,1,,,,15
"Casado(a) (019)",1748,9,525,707,233,74,28,18,4,,150
"Viudo(a) (020)",378,6,121,140,47,15,6,6,,,37
"Divorciado(a) (021)",12,,4,5,2,,,,,,1
"Soltero(a) (022)",454,4,90,97,43,22,5,3,,,190
