"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SECHURA",,,,,,,,,
"Viviendas particulares (001)",6899,4016,2507,289,42,4,1,,40
"Ocupantes presentes (002)",30521,17600,11131,1407,185,30,2,,166
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6505,3779,2365,283,34,4,1,,39
"Ocupantes presentes (005)",29317,16903,10676,1387,154,30,2,,165
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",9,4,5,,,,,,
"Ocupantes presentes (008)",22,8,14,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",3,3,,,,,,,
"Ocupantes presentes (011)",8,8,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",4,,,,4,,,,
"Ocupantes presentes (017)",20,,,,20,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",375,228,137,6,4,,,,
"Ocupantes presentes (020)",1151,679,441,20,11,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,2,,,,,,,1
"Ocupantes presentes (023)",3,2,,,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6749,3878,2500,289,38,4,1,,39
"Ocupantes presentes (029)",29789,16923,11097,1407,165,30,2,,165
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6359,3641,2358,283,34,4,1,,38
"Ocupantes presentes (032)",28605,16226,10642,1387,154,30,2,,164
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",9,4,5,,,,,,
"Ocupantes presentes (035)",22,8,14,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",3,3,,,,,,,
"Ocupantes presentes (038)",8,8,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",375,228,137,6,4,,,,
"Ocupantes presentes (047)",1151,679,441,20,11,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,2,,,,,,,1
"Ocupantes presentes (050)",3,2,,,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",150,138,7,,4,,,,1
"Ocupantes presentes (056)",732,677,34,,20,,,,1
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",146,138,7,,,,,,1
"Ocupantes presentes (059)",712,677,34,,,,,,1
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",4,,,,4,,,,
"Ocupantes presentes (071)",20,,,,20,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
