"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHOTA (000)",140582,35095,40117,29728,23113,12529
"Hombres (001)",67939,17746,19334,13979,10832,6048
"Mujeres (002)",72643,17349,20783,15749,12281,6481
"PEA (003)",47431,832,15410,15656,11243,4290
"Hombres (004)",37362,600,11909,12099,9054,3700
"Mujeres (005)",10069,232,3501,3557,2189,590
"Ocupada (006)",45396,766,14405,15075,10937,4213
"Hombres (007)",35719,563,11168,11597,8767,3624
"Mujeres (008)",9677,203,3237,3478,2170,589
"Desocupada (009)",2035,66,1005,581,306,77
"Hombres (010)",1643,37,741,502,287,76
"Mujeres (011)",392,29,264,79,19,1
"No PEA (012)",93151,34263,24707,14072,11870,8239
"Hombres (013)",30577,17146,7425,1880,1778,2348
"Mujeres (014)",62574,17117,17282,12192,10092,5891
,,,,,,
"URBANA (018)",28957,6135,8352,6927,5185,2358
"Hombres (019)",14116,3163,3901,3284,2599,1169
"Mujeres (020)",14841,2972,4451,3643,2586,1189
"PEA (021)",12135,127,3331,4729,3141,807
"Hombres (022)",7850,86,2058,2938,2150,618
"Mujeres (023)",4285,41,1273,1791,991,189
"Ocupada (024)",11575,122,3053,4548,3062,790
"Hombres (025)",7479,83,1892,2818,2085,601
"Mujeres (026)",4096,39,1161,1730,977,189
"Desocupada (027)",560,5,278,181,79,17
"Hombres (028)",371,3,166,120,65,17
"Mujeres (029)",189,2,112,61,14,
"No PEA (030)",16822,6008,5021,2198,2044,1551
"Hombres (031)",6266,3077,1843,346,449,551
"Mujeres (032)",10556,2931,3178,1852,1595,1000
,,,,,,
"RURAL (036)",111625,28960,31765,22801,17928,10171
"Hombres (037)",53823,14583,15433,10695,8233,4879
"Mujeres (038)",57802,14377,16332,12106,9695,5292
"PEA (039)",35296,705,12079,10927,8102,3483
"Hombres (040)",29512,514,9851,9161,6904,3082
"Mujeres (041)",5784,191,2228,1766,1198,401
"Ocupada (042)",33821,644,11352,10527,7875,3423
"Hombres (043)",28240,480,9276,8779,6682,3023
"Mujeres (044)",5581,164,2076,1748,1193,400
"Desocupada (045)",1475,61,727,400,227,60
"Hombres (046)",1272,34,575,382,222,59
"Mujeres (047)",203,27,152,18,5,1
"No PEA (048)",76329,28255,19686,11874,9826,6688
"Hombres (049)",24311,14069,5582,1534,1329,1797
"Mujeres (050)",52018,14186,14104,10340,8497,4891
