"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAURA (000)",3341,662,2679
"De 14 a 29 años (001)",1787,538,1249
"De 30 a 44 años (002)",940,107,833
"De 45 a 64 años (003)",513,17,496
"De 65 y más años (004)",101,,101
"Hombres (005)",2129,352,1777
"De 14 a 29 años (006)",1069,291,778
"De 30 a 44 años (007)",590,52,538
"De 45 a 64 años (008)",380,9,371
"De 65 y más años (009)",90,,90
"Mujeres (010)",1212,310,902
"De 14 a 29 años (011)",718,247,471
"De 30 a 44 años (012)",350,55,295
"De 45 a 64 años (013)",133,8,125
"De 65 y más años (014)",11,,11
,,,
"AREA URBANA (015)",3058,600,2458
"De 14 a 29 años (016)",1628,487,1141
"De 30 a 44 años (017)",867,97,770
"De 45 a 64 años (018)",477,16,461
"De 65 y más años (019)",86,,86
"Hombres (020)",1927,314,1613
"De 14 a 29 años (021)",968,263,705
"De 30 a 44 años (022)",533,43,490
"De 45 a 64 años (023)",351,8,343
"De 65 y más años (024)",75,,75
"Mujeres (025)",1131,286,845
"De 14 a 29 años (026)",660,224,436
"De 30 a 44 años (027)",334,54,280
"De 45 a 64 años (028)",126,8,118
"De 65 y más años (029)",11,,11
,,,
"AREA RURAL (030)",283,62,221
"De 14 a 29 años (031)",159,51,108
"De 30 a 44 años (032)",73,10,63
"De 45 a 64 años (033)",36,1,35
"De 65 y más años (034)",15,,15
"Hombres (035)",202,38,164
"De 14 a 29 años (036)",101,28,73
"De 30 a 44 años (037)",57,9,48
"De 45 a 64 años (038)",29,1,28
"De 65 y más años (039)",15,,15
"Mujeres (040)",81,24,57
"De 14 a 29 años (041)",58,23,35
"De 30 a 44 años (042)",16,1,15
"De 45 a 64 años (043)",7,,7
