"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PARURO (000)",10652,10342,2475,886,963,951,1860,1522,1024,661,310,39797
"De 12 a 14 años (001)",1246,1221,1213,7,1,,,,,,25,9
"De 15 a 19 años (002)",1076,1034,863,139,27,2,3,,,,42,211
"De 20 a 24 años (003)",847,752,153,300,198,71,27,3,,,95,1041
"De 25 a 29 años (004)",830,780,29,153,242,200,145,9,2,,50,1936
"De 30 a 34 años (005)",883,859,16,61,159,215,296,96,13,3,24,3075
"De 35 a 39 años (006)",922,907,14,48,83,137,333,202,72,18,15,4206
"De 40 a 44 años (007)",969,960,31,35,50,89,279,277,145,54,9,5275
"De 45 a 49 años (008)",713,709,19,20,35,43,158,200,154,80,4,4419
"De 50 y más años (009)",3166,3120,137,123,168,194,619,735,638,506,46,19625
"PEA (010)",2311,2210,269,282,253,262,446,363,199,136,101,9129
"De 12 a 14 años (011)",54,54,52,2,,,,,,,,2
"De 15 a 19 años (012)",143,134,99,28,7,,,,,,9,42
"De 20 a 24 años (013)",213,186,42,86,33,19,4,2,,,27,237
"De 25 a 29 años (014)",229,198,16,51,52,48,31,,,,31,436
"De 30 a 34 años (015)",253,240,11,30,47,61,64,21,5,1,13,777
"De 35 a 39 años (016)",257,251,9,23,35,43,78,41,17,5,6,1032
"De 40 a 44 años (017)",268,266,5,18,24,28,77,71,31,12,2,1370
"De 45 a 49 años (018)",188,185,3,11,14,10,41,58,29,19,3,1092
"De 50 y más años (019)",706,696,32,33,41,53,151,170,117,99,10,4141
"Ocupada (020)",2273,2175,255,280,248,256,441,362,198,135,98,9051
"De 12 a 14 años (021)",54,54,52,2,,,,,,,,2
"De 15 a 19 años (022)",130,121,87,27,7,,,,,,9,41
