"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MOHO (000)",479,201,278
"Sin nivel (001)",33,3,30
"Primaria (003)",115,41,74
"Secundaria (004)",271,127,144
"Superior no univ. incompleta (005)",19,10,9
"Superior no univ. completa (006)",21,11,10
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",15,7,8
"De 14 a 29 años (010)",255,143,112
"Sin nivel (011)",2,,2
"Primaria (013)",38,24,14
"Secundaria (014)",184,100,84
"Superior no univ. incompleta (015)",11,8,3
"Superior no univ. completa (016)",13,7,6
"Superior univ. completa (018)",7,4,3
"De 30 a 44 años (020)",138,53,85
"Sin nivel (021)",11,3,8
"Primaria (023)",36,13,23
"Secundaria (024)",68,26,42
"Superior no univ. incompleta (025)",6,2,4
"Superior no univ. completa (026)",7,4,3
"Superior univ. incompleta (027)",3,2,1
"Superior univ. completa (028)",7,3,4
"De 45 a 64 años (030)",56,5,51
"Sin nivel (031)",6,,6
"Primaria (033)",28,4,24
"Secundaria (034)",17,1,16
"Superior no univ. incompleta (035)",2,,2
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",30,,30
"Sin nivel (041)",14,,14
"Primaria (043)",13,,13
"Secundaria (044)",2,,2
"Superior univ. incompleta (047)",1,,1
,,,
"AREA URBANA (050)",207,75,132
"Sin nivel (051)",17,1,16
"Primaria (053)",42,10,32
"Secundaria (054)",116,49,67
"Superior no univ. incompleta (055)",10,4,6
"Superior no univ. completa (056)",13,8,5
"Superior univ. incompleta (057)",3,,3
"Superior univ. completa (058)",6,3,3
"De 14 a 29 años (060)",102,53,49
"Sin nivel (061)",2,,2
"Primaria (063)",9,3,6
"Secundaria (064)",74,39,35
"Superior no univ. incompleta (065)",5,3,2
"Superior no univ. completa (066)",9,6,3
"Superior univ. completa (068)",3,2,1
"De 30 a 44 años (070)",68,19,49
"Sin nivel (071)",7,1,6
"Primaria (073)",17,5,12
"Secundaria (074)",33,9,24
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",3,2,1
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",3,1,2
"De 45 a 64 años (080)",25,3,22
"Sin nivel (081)",3,,3
"Primaria (083)",11,2,9
"Secundaria (084)",8,1,7
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",1,,1
"De 65 y más años (090)",12,,12
"Sin nivel (091)",5,,5
"Primaria (093)",5,,5
"Secundaria (094)",1,,1
"Superior univ. incompleta (097)",1,,1
,,,
"AREA RURAL (100)",272,126,146
"Sin nivel (101)",16,2,14
"Primaria (103)",73,31,42
"Secundaria (104)",155,78,77
"Superior no univ. incompleta (105)",9,6,3
"Superior no univ. completa (106)",8,3,5
"Superior univ. incompleta (107)",2,2,
"Superior univ. completa (108)",9,4,5
"De 14 a 29 años (110)",153,90,63
"Primaria (113)",29,21,8
"Secundaria (114)",110,61,49
"Superior no univ. incompleta (115)",6,5,1
"Superior no univ. completa (116)",4,1,3
"Superior univ. completa (118)",4,2,2
"De 30 a 44 años (120)",70,34,36
"Sin nivel (121)",4,2,2
"Primaria (123)",19,8,11
"Secundaria (124)",35,17,18
"Superior no univ. incompleta (125)",2,1,1
"Superior no univ. completa (126)",4,2,2
"Superior univ. incompleta (127)",2,2,
"Superior univ. completa (128)",4,2,2
"De 45 a 64 años (130)",31,2,29
"Sin nivel (131)",3,,3
"Primaria (133)",17,2,15
"Secundaria (134)",9,,9
"Superior no univ. incompleta (135)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",18,,18
"Sin nivel (141)",9,,9
"Primaria (143)",8,,8
"Secundaria (144)",1,,1
