"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CAÑETE (000)",86841,74519,12322
"De 3 a 5 años (001)",12099,1439,10660
"De 6 a 11 años (002)",24316,22967,1349
"De 12 a 16 años (003)",20966,20833,133
"De 17 a 24 años (004)",29460,29280,180
"Hombres (005)",43869,37577,6292
"De 3 a 5 años (006)",6192,728,5464
"De 6 a 11 años (007)",12302,11633,669
"De 12 a 16 años (008)",10662,10593,69
"De 17 a 24 años (009)",14713,14623,90
"Mujeres (010)",42972,36942,6030
"De 3 a 5 años (011)",5907,711,5196
"De 6 a 11 años (012)",12014,11334,680
"De 12 a 16 años (013)",10304,10240,64
"De 17 a 24 años (014)",14747,14657,90
,,,
"URBANA (015)",73444,63067,10377
"De 3 a 5 años (016)",10241,1243,8998
"De 6 a 11 años (017)",20628,19495,1133
"De 12 a 16 años (018)",17765,17655,110
"De 17 a 24 años (019)",24810,24674,136
"Hombres (020)",36997,31710,5287
"De 3 a 5 años (021)",5222,627,4595
"De 6 a 11 años (022)",10436,9875,561
"De 12 a 16 años (023)",9037,8977,60
"De 17 a 24 años (024)",12302,12231,71
"Mujeres (025)",36447,31357,5090
"De 3 a 5 años (026)",5019,616,4403
"De 6 a 11 años (027)",10192,9620,572
"De 12 a 16 años (028)",8728,8678,50
"De 17 a 24 años (029)",12508,12443,65
,,,
"RURAL (030)",13397,11452,1945
"De 3 a 5 años (031)",1858,196,1662
"De 6 a 11 años (032)",3688,3472,216
"De 12 a 16 años (033)",3201,3178,23
"De 17 a 24 años (034)",4650,4606,44
"Hombres (035)",6872,5867,1005
"De 3 a 5 años (036)",970,101,869
"De 6 a 11 años (037)",1866,1758,108
"De 12 a 16 años (038)",1625,1616,9
"De 17 a 24 años (039)",2411,2392,19
"Mujeres (040)",6525,5585,940
"De 3 a 5 años (041)",888,95,793
"De 6 a 11 años (042)",1822,1714,108
"De 12 a 16 años (043)",1576,1562,14
"De 17 a 24 años (044)",2239,2214,25
