"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia HUARAZ",,,,,,,,,
"Hogares (001)",37124,1038,458,315,261,141,106,108,34697
"Ocupantes presentes (002)",144814,3640,1350,1010,965,657,466,604,136122
"Casa independiente",,,,,,,,,
"Hogares (004)",34493,960,423,280,242,128,103,105,32252
"Ocupantes presentes (005)",136128,3421,1247,902,899,590,454,583,128032
"Departamento en edificio",,,,,,,,,
"Hogares (007)",815,26,11,11,10,4,1,1,751
"Ocupantes presentes (008)",2705,82,37,31,34,18,4,12,2487
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",534,16,7,5,2,5,2,2,495
"Ocupantes presentes (011)",1829,42,21,16,5,27,8,9,1701
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",702,27,8,10,5,4,,,648
"Ocupantes presentes (014)",2373,81,24,33,19,22,,,2194
"Choza o cabaña",,,,,,,,,
"Hogares (016)",331,2,4,2,2,,,,321
"Ocupantes presentes (017)",1214,5,8,6,8,,,,1187
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",213,6,5,5,,,,,197
"Ocupantes presentes (020)",481,6,13,16,,,,,446
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",31,1,,2,,,,,28
"Ocupantes presentes (023)",73,3,,6,,,,,64
"Otro tipo",,,,,,,,,
"Hogares (025)",5,,,,,,,,5
"Ocupantes presentes (026)",11,,,,,,,,11
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",27441,953,412,295,242,134,89,98,25218
"Ocupantes presentes (029)",106888,3367,1224,936,895,627,386,538,98915
"Casa independiente",,,,,,,,,
"Hogares (031)",25143,877,381,262,225,121,86,95,23096
"Ocupantes presentes (032)",99421,3153,1129,834,837,560,374,517,92017
"Departamento en edificio",,,,,,,,,
"Hogares (034)",815,26,11,11,10,4,1,1,751
"Ocupantes presentes (035)",2705,82,37,31,34,18,4,12,2487
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",534,16,7,5,2,5,2,2,495
"Ocupantes presentes (038)",1829,42,21,16,5,27,8,9,1701
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",702,27,8,10,5,4,,,648
"Ocupantes presentes (041)",2373,81,24,33,19,22,,,2194
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",213,6,5,5,,,,,197
"Ocupantes presentes (047)",481,6,13,16,,,,,446
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",29,1,,2,,,,,26
"Ocupantes presentes (050)",68,3,,6,,,,,59
"Otro tipo",,,,,,,,,
"Hogares (052)",5,,,,,,,,5
"Ocupantes presentes (053)",11,,,,,,,,11
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",9683,85,46,20,19,7,17,10,9479
"Ocupantes presentes (056)",37926,273,126,74,70,30,80,66,37207
"Casa independiente",,,,,,,,,
"Hogares (058)",9350,83,42,18,17,7,17,10,9156
"Ocupantes presentes (059)",36707,268,118,68,62,30,80,66,36015
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",331,2,4,2,2,,,,321
"Ocupantes presentes (071)",1214,5,8,6,8,,,,1187
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
