"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ASUNCION (000)",2278,446,6,632,590,93,318,61,132
"Empleado (001)",449,14,,21,50,28,188,47,101
"Obrero (002)",431,70,1,130,161,21,35,4,9
"Trabajador independiente (003)",1067,285,4,364,270,35,85,5,19
"Empleador o patrono (004)",43,10,,20,10,2,1,,
"Trabajador familiar no remunerado (005)",219,49,1,74,74,6,8,5,2
"Trabajador del hogar (006)",69,18,,23,25,1,1,,1
"Hombres (008)",1694,314,6,518,460,74,226,30,66
"Empleado (009)",241,4,,12,30,17,112,20,46
"Obrero (010)",378,50,1,114,148,19,35,4,7
"Trabajador independiente (011)",916,242,4,328,220,32,75,3,12
"Empleador o patrono (012)",41,8,,20,10,2,1,,
"Trabajador familiar no remunerado (013)",113,9,1,42,51,4,2,3,1
"Trabajador del hogar (014)",5,1,,2,1,,1,,
"Mujeres (016)",584,132,,114,130,19,92,31,66
"Empleado (017)",208,10,,9,20,11,76,27,55
"Obrero (018)",53,20,,16,13,2,,,2
"Trabajador independiente (019)",151,43,,36,50,3,10,2,7
"Empleador o patrono (020)",2,2,,,,,,,
"Trabajador familiar no remunerado (021)",106,40,,32,23,2,6,2,1
"Trabajador del hogar (022)",64,17,,21,24,1,,,1
,,,,,,,,,
"URBANA (024)",821,37,,124,206,69,234,48,103
"Empleado (025)",329,6,,13,27,26,140,39,78
"Obrero (026)",161,12,,35,64,14,25,3,8
"Trabajador independiente (027)",247,9,,50,81,26,61,5,15
"Empleador o patrono (028)",11,3,,3,4,1,,,
"Trabajador familiar no remunerado (029)",48,5,,14,17,2,8,1,1
"Trabajador del hogar (030)",25,2,,9,13,,,,1
"Hombres (032)",516,18,,77,136,56,159,20,50
"Empleado (033)",163,1,,7,13,15,78,14,35
"Obrero (034)",145,9,,27,61,14,25,3,6
"Trabajador independiente (035)",177,3,,33,51,24,54,3,9
"Empleador o patrono (036)",10,2,,3,4,1,,,
"Trabajador familiar no remunerado (037)",20,3,,6,7,2,2,,
"Trabajador del hogar (038)",1,,,1,,,,,
"Mujeres (040)",305,19,,47,70,13,75,28,53
"Empleado (041)",166,5,,6,14,11,62,25,43
"Obrero (042)",16,3,,8,3,,,,2
"Trabajador independiente (043)",70,6,,17,30,2,7,2,6
"Empleador o patrono (044)",1,1,,,,,,,
"Trabajador familiar no remunerado (045)",28,2,,8,10,,6,1,1
"Trabajador del hogar (046)",24,2,,8,13,,,,1
,,,,,,,,,
"RURAL (048)",1457,409,6,508,384,24,84,13,29
"Empleado (049)",120,8,,8,23,2,48,8,23
"Obrero (050)",270,58,1,95,97,7,10,1,1
"Trabajador independiente (051)",820,276,4,314,189,9,24,,4
"Empleador o patrono (052)",32,7,,17,6,1,1,,
"Trabajador familiar no remunerado (053)",171,44,1,60,57,4,,4,1
"Trabajador del hogar (054)",44,16,,14,12,1,1,,
"Hombres (056)",1178,296,6,441,324,18,67,10,16
"Empleado (057)",78,3,,5,17,2,34,6,11
"Obrero (058)",233,41,1,87,87,5,10,1,1
"Trabajador independiente (059)",739,239,4,295,169,8,21,,3
"Empleador o patrono (060)",31,6,,17,6,1,1,,
"Trabajador familiar no remunerado (061)",93,6,1,36,44,2,,3,1
"Trabajador del hogar (062)",4,1,,1,1,,1,,
"Mujeres (064)",279,113,,67,60,6,17,3,13
"Empleado (065)",42,5,,3,6,,14,2,12
"Obrero (066)",37,17,,8,10,2,,,
"Trabajador independiente (067)",81,37,,19,20,1,3,,1
"Empleador o patrono (068)",1,1,,,,,,,
"Trabajador familiar no remunerado (069)",78,38,,24,13,2,,1,
"Trabajador del hogar (070)",40,15,,13,11,1,,,
