"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CARAVELI",,,,,,,,,
"Viviendas particulares (001)",9386,3920,477,160,2474,543,1534,181,97
"Ocupantes presentes (002)",32412,14764,1608,482,8038,1894,4766,589,271
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8331,3806,402,148,1894,443,1392,157,89
"Ocupantes presentes (005)",29352,14352,1383,437,6473,1587,4337,530,253
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",4,4,,,,,,,
"Ocupantes presentes (008)",7,7,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",74,23,47,,,,,4,
"Ocupantes presentes (011)",242,108,122,,,,,12,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",115,56,19,1,27,8,1,3,
"Ocupantes presentes (014)",388,190,57,5,96,32,1,7,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",687,,,1,456,88,133,6,3
"Ocupantes presentes (017)",1832,,,2,1135,259,412,16,8
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",136,23,4,3,86,4,4,8,4
"Ocupantes presentes (020)",469,82,23,12,303,16,8,16,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",26,8,5,2,6,,4,1,
"Ocupantes presentes (023)",89,25,23,7,22,,8,4,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",13,,,5,5,,,2,1
"Ocupantes presentes (026)",33,,,19,9,,,4,1
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6019,3346,361,104,1359,217,434,137,61
"Ocupantes presentes (029)",21984,12604,1293,358,4979,809,1292,457,192
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5657,3232,286,93,1240,205,426,119,56
"Ocupantes presentes (032)",20768,12192,1068,315,4558,761,1278,414,182
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",4,4,,,,,,,
"Ocupantes presentes (035)",7,7,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",74,23,47,,,,,4,
"Ocupantes presentes (038)",242,108,122,,,,,12,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",115,56,19,1,27,8,1,3,
"Ocupantes presentes (041)",388,190,57,5,96,32,1,7,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",136,23,4,3,86,4,4,8,4
"Ocupantes presentes (047)",469,82,23,12,303,16,8,16,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",25,8,5,2,6,,3,1,
"Ocupantes presentes (050)",86,25,23,7,22,,5,4,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",8,,,5,,,,2,1
"Ocupantes presentes (053)",24,,,19,,,,4,1
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3367,574,116,56,1115,326,1100,44,36
"Ocupantes presentes (056)",10428,2160,315,124,3059,1085,3474,132,79
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2674,574,116,55,654,238,966,38,33
"Ocupantes presentes (059)",8584,2160,315,122,1915,826,3059,116,71
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",687,,,1,456,88,133,6,3
"Ocupantes presentes (071)",1832,,,2,1135,259,412,16,8
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,1,,
"Ocupantes presentes (077)",3,,,,,,3,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",5,,,,5,,,,
"Ocupantes presentes (080)",9,,,,9,,,,
