"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia GRAN CHIMU (000)",10194,9858,2731,1346,1297,1038,1467,965,1014,336
"Católica (001)",7047,6799,1952,957,920,735,1012,606,617,248
"Cristiana/Evangélica (002)",1944,1882,450,203,232,192,290,247,268,62
"Otra (003)",460,454,114,52,48,56,77,43,64,6
"Ninguna (004)",743,723,215,134,97,55,88,69,65,20
,,,,,,,,,,
"URBANA (006)",2573,2466,724,397,406,288,359,155,137,107
"Católica (007)",1943,1855,544,298,317,217,270,112,97,88
"Cristiana/Evangélica (008)",397,384,111,54,61,48,57,27,26,13
"Otra (009)",136,132,38,20,10,19,21,11,13,4
"Ninguna (010)",97,95,31,25,18,4,11,5,1,2
,,,,,,,,,,
"RURAL (012)",7621,7392,2007,949,891,750,1108,810,877,229
"Católica (013)",5104,4944,1408,659,603,518,742,494,520,160
"Cristiana/Evangélica (014)",1547,1498,339,149,171,144,233,220,242,49
"Otra (015)",324,322,76,32,38,37,56,32,51,2
"Ninguna (016)",646,628,184,109,79,51,77,64,64,18
