"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAYO (000)",172189,123079,15704,14388,19018
"Empleado (001)",55524,19204,8110,11629,16581
"Obrero (002)",22378,14665,3093,2320,2300
"Trabajador independiente (003)",74811,71310,3501,,
"Empleador o patrono (004)",3897,3026,502,281,88
"Trabajador familiar no remunerado (005)",12036,11331,498,158,49
"Trabajador del hogar (006)",3543,3543,,,
"De 06 a 14 años (008)",2665,2428,178,54,5
"Empleado (009)",325,270,38,16,1
"Obrero (010)",325,267,32,22,4
"Trabajador independiente (011)",525,494,31,,
"Empleador o patrono (012)",5,5,,,
"Trabajador familiar no remunerado (013)",1332,1239,77,16,
"Trabajador del hogar (014)",153,153,,,
"De 15 a 29 años (016)",55429,39693,6409,4719,4608
"Empleado (017)",20207,9268,3424,3671,3844
"Obrero (018)",8606,5589,1366,924,727
"Trabajador independiente (019)",19476,18188,1288,,
"Empleador o patrono (020)",909,697,130,64,18
"Trabajador familiar no remunerado (021)",4411,4131,201,60,19
"Trabajador del hogar (022)",1820,1820,,,
"De 30 a 44 años (024)",62309,41946,5815,6106,8442
"Empleado (025)",22040,6356,3175,5070,7439
"Obrero (026)",7522,4656,1064,858,944
"Trabajador independiente (027)",27252,26006,1246,,
"Empleador o patrono (028)",1554,1169,212,129,44
"Trabajador familiar no remunerado (029)",3022,2840,118,49,15
"Trabajador del hogar (030)",919,919,,,
"De 45 a 64 años (032)",43504,31489,2962,3335,5718
"Empleado (033)",12205,2983,1370,2758,5094
"Obrero (034)",5018,3392,558,478,590
"Trabajador independiente (035)",22068,21263,805,,
"Empleador o patrono (036)",1169,926,141,77,25
"Trabajador familiar no remunerado (037)",2478,2359,88,22,9
"Trabajador del hogar (038)",566,566,,,
"De 65 y más años (040)",8282,7523,340,174,245
"Empleado (041)",747,327,103,114,203
"Obrero (042)",907,761,73,38,35
"Trabajador independiente (043)",5490,5359,131,,
"Empleador o patrono (044)",260,229,19,11,1
"Trabajador familiar no remunerado (045)",793,762,14,11,6
"Trabajador del hogar (046)",85,85,,,
,,,,,
"URBANA (048)",154623,107282,14847,13925,18569
"Empleado (049)",54082,18511,7875,11393,16303
"Obrero (050)",19205,12158,2800,2114,2133
"Trabajador independiente (051)",65710,62435,3275,,
