"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TALARA (000)",121206,5254,24686,24457,20020,16604,14971,7746,7468
"Quechua (001)",83,1,5,15,12,11,16,13,10
"Aymara (002)",26,2,2,4,5,7,2,3,1
"Ashaninca (003)",14,,2,1,3,4,1,1,2
"Otra lengua nativa (004)",145,6,35,27,27,17,16,9,8
"Castellano (005)",120672,5242,24604,24344,19898,16538,14902,7704,7440
"Idioma extranjero (006)",136,,2,33,55,15,17,10,4
"Es sordomudo/a (007)",130,3,36,33,20,12,17,6,3
"Hombres (009)",60813,2673,12585,12321,9798,8000,7707,4073,3656
"Quechua (010)",39,,2,5,5,8,8,8,3
"Aymara (011)",14,2,,1,3,3,2,2,1
"Ashaninca (012)",5,,,1,1,2,,,1
"Otra lengua nativa (013)",77,5,22,11,15,9,8,4,3
"Castellano (014)",60533,2665,12538,12268,9726,7965,7673,4053,3645
"Idioma extranjero (015)",75,,1,16,35,8,8,5,2
"Es sordomudo/a (016)",70,1,22,19,13,5,8,1,1
"Mujeres (018)",60393,2581,12101,12136,10222,8604,7264,3673,3812
"Quechua (019)",44,1,3,10,7,3,8,5,7
"Aymara (020)",12,,2,3,2,4,,1,
"Ashaninca (021)",9,,2,,2,2,1,1,1
"Otra lengua nativa (022)",68,1,13,16,12,8,8,5,5
"Castellano (023)",60139,2577,12066,12076,10172,8573,7229,3651,3795
"Idioma extranjero (024)",61,,1,17,20,7,9,5,2
"Es sordomudo/a (025)",60,2,14,14,7,7,9,5,2
,,,,,,,,,
"URBANA (027)",118842,5154,24257,23914,19545,16298,14699,7620,7355
"Quechua (028)",80,1,5,13,12,11,16,12,10
"Aymara (029)",26,2,2,4,5,7,2,3,1
"Ashaninca (030)",14,,2,1,3,4,1,1,2
"Otra lengua nativa (031)",145,6,35,27,27,17,16,9,8
"Castellano (032)",118354,5142,24179,23808,19433,16238,14641,7582,7331
"Idioma extranjero (033)",97,,2,28,45,9,6,7,
"Es sordomudo/a (034)",126,3,32,33,20,12,17,6,3
"Hombres (036)",59506,2625,12365,12024,9536,7818,7558,3993,3587
"Quechua (037)",36,,2,3,5,8,8,7,3
"Aymara (038)",14,2,,1,3,3,2,2,1
"Ashaninca (039)",5,,,1,1,2,,,1
"Otra lengua nativa (040)",77,5,22,11,15,9,8,4,3
"Castellano (041)",59249,2617,12322,11974,9470,7785,7528,3975,3578
"Idioma extranjero (042)",59,,1,15,29,6,4,4,
"Es sordomudo/a (043)",66,1,18,19,13,5,8,1,1
"Mujeres (045)",59336,2529,11892,11890,10009,8480,7141,3627,3768
"Quechua (046)",44,1,3,10,7,3,8,5,7
"Aymara (047)",12,,2,3,2,4,,1,
"Ashaninca (048)",9,,2,,2,2,1,1,1
"Otra lengua nativa (049)",68,1,13,16,12,8,8,5,5
"Castellano (050)",59105,2525,11857,11834,9963,8453,7113,3607,3753
"Idioma extranjero (051)",38,,1,13,16,3,2,3,
"Es sordomudo/a (052)",60,2,14,14,7,7,9,5,2
,,,,,,,,,
"RURAL (054)",2364,100,429,543,475,306,272,126,113
"Quechua (055)",3,,,2,,,,1,
"Castellano (059)",2318,100,425,536,465,300,261,122,109
"Idioma extranjero (060)",39,,,5,10,6,11,3,4
"Es sordomudo/a (061)",4,,4,,,,,,
"Hombres (063)",1307,48,220,297,262,182,149,80,69
"Quechua (064)",3,,,2,,,,1,
"Castellano (068)",1284,48,216,294,256,180,145,78,67
"Idioma extranjero (069)",16,,,1,6,2,4,1,2
"Es sordomudo/a (070)",4,,4,,,,,,
"Mujeres (072)",1057,52,209,246,213,124,123,46,44
"Castellano (077)",1034,52,209,242,209,120,116,44,42
"Idioma extranjero (078)",23,,,4,4,4,7,2,2
