"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LUCANAS (000)",64590,1091,19677,14976,11603,10232,7011
"Casa independiente (001)",58552,994,17937,13507,10459,9207,6448
"Departamento en edificio (002)",34,2,9,7,10,4,2
"Vivienda en quinta (003)",192,4,62,50,52,17,7
"Vivienda en casa de vecindad (004)",228,5,74,61,35,29,24
"Choza o cabaña (005)",5469,86,1574,1307,1015,960,527
"Vivienda improvisada (006)",12,,,6,6,,
"Local no destinado para hab.humana (007)",77,,19,23,21,12,2
"Otro tipo (008)",26,,2,15,5,3,1
,,,,,,,
"URBANA (009)",37913,636,11380,8929,7016,5878,4074
"Casa independiente (010)",37400,625,11224,8789,6904,5818,4040
"Departamento en edificio (011)",34,2,9,7,10,4,2
"Vivienda en quinta (012)",192,4,62,50,52,17,7
"Vivienda en casa de vecindad (013)",228,5,74,61,35,29,24
"Vivienda improvisada (015)",12,,,6,6,,
"Local no destinado para hab.humana (016)",44,,11,15,8,9,1
"Otro tipo (017)",3,,,1,1,1,
,,,,,,,
"RURAL (018)",26677,455,8297,6047,4587,4354,2937
"Casa independiente (019)",21152,369,6713,4718,3555,3389,2408
"Choza o cabaña (023)",5469,86,1574,1307,1015,960,527
"Local no destinado para hab.humana (025)",33,,8,8,13,3,1
"Otro tipo (026)",23,,2,14,4,2,1
