"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTA (000)",51955,9319,1467,21476,15848,1299,983,813,750
"Quechua (001)",36512,7413,777,15915,10396,686,508,380,437
"Aymara (002)",42,12,4,15,8,,2,1,
"Ashaninca (003)",3,,,3,,,,,
"Otra lengua nativa (004)",10,2,,1,6,,,1,
"Castellano (005)",15248,1844,685,5507,5402,611,466,428,305
"Idioma extranjero (006)",8,,,,,,,1,7
"Es sordomudo/a (007)",132,48,1,35,36,2,7,2,1
"Hombres (009)",26158,3203,778,10866,9151,710,526,473,451
"Quechua (010)",18122,2256,429,8020,6225,392,292,233,275
"Aymara (011)",17,2,2,3,7,,2,1,
"Ashaninca (012)",2,,,2,,,,,
"Otra lengua nativa (013)",5,1,,1,3,,,,
"Castellano (014)",7922,916,347,2811,2891,318,228,239,172
"Idioma extranjero (015)",3,,,,,,,,3
"Es sordomudo/a (016)",87,28,,29,25,,4,,1
"Mujeres (018)",25797,6116,689,10610,6697,589,457,340,299
"Quechua (019)",18390,5157,348,7895,4171,294,216,147,162
"Aymara (020)",25,10,2,12,1,,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",5,1,,,3,,,1,
"Castellano (023)",7326,928,338,2696,2511,293,238,189,133
"Idioma extranjero (024)",5,,,,,,,1,4
"Es sordomudo/a (025)",45,20,1,6,11,2,3,2,
,,,,,,,,,
"URBANA (027)",18382,2472,528,6645,6229,761,663,554,530
"Quechua (028)",9004,1422,109,3347,2965,347,303,222,289
"Aymara (029)",18,2,1,5,7,,2,1,
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",5,,,,4,,,1,
"Castellano (032)",9296,1029,418,3278,3240,412,352,329,238
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",55,19,,13,13,2,6,1,1
"Hombres (036)",9102,829,269,3188,3400,429,351,319,317
"Quechua (037)",4369,309,56,1555,1735,210,178,142,184
"Aymara (038)",11,,,1,7,,2,1,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",2,,,,2,,,,
"Castellano (041)",4683,509,213,1620,1648,219,167,176,131
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",35,11,,11,8,,4,,1
"Mujeres (045)",9280,1643,259,3457,2829,332,312,235,213
"Quechua (046)",4635,1113,53,1792,1230,137,125,80,105
"Aymara (047)",7,2,1,4,,,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",3,,,,2,,,1,
"Castellano (050)",4613,520,205,1658,1592,193,185,153,107
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",20,8,,2,5,2,2,1,
,,,,,,,,,
"RURAL (054)",33573,6847,939,14831,9619,538,320,259,220
"Quechua (055)",27508,5991,668,12568,7431,339,205,158,148
"Aymara (056)",24,10,3,10,1,,,,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",5,2,,1,2,,,,
"Castellano (059)",5952,815,267,2229,2162,199,114,99,67
"Idioma extranjero (060)",6,,,,,,,1,5
"Es sordomudo/a (061)",77,29,1,22,23,,1,1,
"Hombres (063)",17056,2374,509,7678,5751,281,175,154,134
"Quechua (064)",13753,1947,373,6465,4490,182,114,91,91
"Aymara (065)",6,2,2,2,,,,,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",3,1,,1,1,,,,
"Castellano (068)",3239,407,134,1191,1243,99,61,63,41
"Idioma extranjero (069)",2,,,,,,,,2
"Es sordomudo/a (070)",52,17,,18,17,,,,
"Mujeres (072)",16517,4473,430,7153,3868,257,145,105,86
"Quechua (073)",13755,4044,295,6103,2941,157,91,67,57
"Aymara (074)",18,8,1,8,1,,,,
"Otra lengua nativa (076)",2,1,,,1,,,,
"Castellano (077)",2713,408,133,1038,919,100,53,36,26
"Idioma extranjero (078)",4,,,,,,,1,3
"Es sordomudo/a (079)",25,12,1,4,6,,1,1,
