"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARAVELI (000)",35928,625,9372,10378,8279,5122,2152
"Hombres (001)",20273,303,4821,6039,4894,3038,1178
"Mujeres (002)",15655,322,4551,4339,3385,2084,974
"Viviendas particulares (003)",32412,622,9264,8509,7168,4736,2113
"Hombres (004)",17352,302,4760,4489,3939,2716,1146
"Mujeres (005)",15060,320,4504,4020,3229,2020,967
"Viviendas colectivas (006)",3009,1,91,1702,917,273,25
"Hombres (007)",2487,1,52,1411,780,222,21
"Mujeres (008)",522,,39,291,137,51,4
"Otro tipo (009)",507,2,17,167,194,113,14
"Hombres (010)",434,,9,139,175,100,11
"Mujeres (011)",73,2,8,28,19,13,3
,,,,,,,
"URBANA (012)",23080,378,6560,5912,5381,3407,1442
"Hombres (013)",12143,185,3349,3040,2873,1933,763
"Mujeres (014)",10937,193,3211,2872,2508,1474,679
"Viviendas particulares (015)",21984,375,6481,5453,5026,3232,1417
"Hombres (016)",11364,184,3300,2744,2599,1793,744
"Mujeres (017)",10620,191,3181,2709,2427,1439,673
"Viviendas colectivas (018)",738,1,68,338,221,96,14
"Hombres (019)",479,1,42,197,158,70,11
"Mujeres (020)",259,,26,141,63,26,3
"Otro tipo (021)",358,2,11,121,134,79,11
"Hombres (022)",300,,7,99,116,70,8
"Mujeres (023)",58,2,4,22,18,9,3
,,,,,,,
"RURAL (024)",12848,247,2812,4466,2898,1715,710
"Hombres (025)",8130,118,1472,2999,2021,1105,415
"Mujeres (026)",4718,129,1340,1467,877,610,295
"Viviendas particulares (027)",10428,247,2783,3056,2142,1504,696
"Hombres (028)",5988,118,1460,1745,1340,923,402
"Mujeres (029)",4440,129,1323,1311,802,581,294
"Viviendas colectivas (030)",2271,,23,1364,696,177,11
"Hombres (031)",2008,,10,1214,622,152,10
"Mujeres (032)",263,,13,150,74,25,1
"Otro tipo (033)",149,,6,46,60,34,3
"Hombres (034)",134,,2,40,59,30,3
"Mujeres (035)",15,,4,6,1,4,
