"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PUERTO INCA (000)",591,58,533
"De 14 a 29 años (001)",302,46,256
"De 30 a 44 años (002)",150,10,140
"De 45 a 64 años (003)",111,2,109
"De 65 y más años (004)",28,,28
"Hombres (005)",452,36,416
"De 14 a 29 años (006)",209,30,179
"De 30 a 44 años (007)",124,4,120
"De 45 a 64 años (008)",94,2,92
"De 65 y más años (009)",25,,25
"Mujeres (010)",139,22,117
"De 14 a 29 años (011)",93,16,77
"De 30 a 44 años (012)",26,6,20
"De 45 a 64 años (013)",17,,17
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",199,21,178
"De 14 a 29 años (016)",83,14,69
"De 30 a 44 años (017)",61,5,56
"De 45 a 64 años (018)",47,2,45
"De 65 y más años (019)",8,,8
"Hombres (020)",162,11,151
"De 14 a 29 años (021)",59,6,53
"De 30 a 44 años (022)",55,3,52
"De 45 a 64 años (023)",41,2,39
"De 65 y más años (024)",7,,7
"Mujeres (025)",37,10,27
"De 14 a 29 años (026)",24,8,16
"De 30 a 44 años (027)",6,2,4
"De 45 a 64 años (028)",6,,6
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",392,37,355
"De 14 a 29 años (031)",219,32,187
"De 30 a 44 años (032)",89,5,84
"De 45 a 64 años (033)",64,,64
"De 65 y más años (034)",20,,20
"Hombres (035)",290,25,265
"De 14 a 29 años (036)",150,24,126
"De 30 a 44 años (037)",69,1,68
"De 45 a 64 años (038)",53,,53
"De 65 y más años (039)",18,,18
"Mujeres (040)",102,12,90
"De 14 a 29 años (041)",69,8,61
"De 30 a 44 años (042)",20,4,16
"De 45 a 64 años (043)",11,,11
"De 65 y más años (044)",2,,2
