"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHICLAYO (000)",715922,100073,163702,47521,407364
"Sin Nivel (001)",64716,15028,13842,3148,32831
"Educación Inicial (002)",19918,6439,4336,1225,8003
"Primaria (003)",205785,38548,41485,11014,115206
"Secundaria (004)",242080,30112,44319,14051,154105
"Sup. no Univ. Incompleta (005)",36522,2891,6719,2819,24237
"Sup. no Univ. Completa (006)",52344,3076,18542,5221,25853
"Sup. Univ. Incompleta (007)",38687,1936,7841,4072,25074
"Sup. Univ. Completa (008)",55870,2043,26618,5971,22055
"Hombres (010)",344266,43713,76716,25279,200104
"Sin Nivel (011)",25354,6883,5338,1288,11910
"Educación Inicial (012)",10085,3306,2156,652,4018
"Primaria (013)",96139,17516,19573,5348,53925
"Secundaria (014)",124614,12367,22124,7744,82688
"Sup. no Univ. Incompleta (015)",17331,978,3237,1674,11546
"Sup. no Univ. Completa (016)",22433,992,7403,2947,11284
"Sup. Univ. Incompleta (017)",20219,768,4027,2160,13401
"Sup. Univ. Completa (018)",28091,903,12858,3466,11332
"Mujeres (020)",371656,56360,86986,22242,207260
"Sin Nivel (021)",39362,8145,8504,1860,20921
"Educación Inicial (022)",9833,3133,2180,573,3985
"Primaria (023)",109646,21032,21912,5666,61281
"Secundaria (024)",117466,17745,22195,6307,71417
"Sup. no Univ. Incompleta (025)",19191,1913,3482,1145,12691
"Sup. no Univ. Completa (026)",29911,2084,11139,2274,14569
"Sup. Univ. Incompleta (027)",18468,1168,3814,1912,11673
"Sup. Univ. Completa (028)",27779,1140,13760,2505,10723
,,,,,
"URBANA (030)",669662,89561,157111,46332,379358
"Sin Nivel (031)",57778,13196,12718,2998,28997
"Educación Inicial (032)",18724,5816,4229,1191,7569
"Primaria (033)",185597,33779,38809,10535,102927
"Secundaria (034)",227048,27129,42191,13699,144529
"Sup. no Univ. Incompleta (035)",35591,2763,6631,2768,23571
"Sup. no Univ. Completa (036)",51359,2970,18324,5159,25252
"Sup. Univ. Incompleta (037)",38226,1896,7782,4052,24732
"Sup. Univ. Completa (038)",55339,2012,26427,5930,21781
"Hombres (040)",320625,38955,73290,24621,185277
"Sin Nivel (041)",22649,6039,4920,1223,10531
"Educación Inicial (042)",9463,2969,2105,640,3795
"Primaria (043)",85955,15296,18148,5104,47618
"Secundaria (044)",115976,11109,20883,7522,76765
"Sup. no Univ. Incompleta (045)",16885,947,3194,1640,11207
"Sup. no Univ. Completa (046)",21939,953,7290,2901,10986
"Sup. Univ. Incompleta (047)",19963,753,3995,2152,13200
"Sup. Univ. Completa (048)",27795,889,12755,3439,11175
"Mujeres (050)",349037,50606,83821,21711,194081
"Sin Nivel (051)",35129,7157,7798,1775,18466
"Educación Inicial (052)",9261,2847,2124,551,3774
"Primaria (053)",99642,18483,20661,5431,55309
"Secundaria (054)",111072,16020,21308,6177,67764
"Sup. no Univ. Incompleta (055)",18706,1816,3437,1128,12364
"Sup. no Univ. Completa (056)",29420,2017,11034,2258,14266
"Sup. Univ. Incompleta (057)",18263,1143,3787,1900,11532
"Sup. Univ. Completa (058)",27544,1123,13672,2491,10606
,,,,,
"RURAL (060)",46260,10512,6591,1189,28006
"Sin Nivel (061)",6938,1832,1124,150,3834
"Educación Inicial (062)",1194,623,107,34,434
"Primaria (063)",20188,4769,2676,479,12279
"Secundaria (064)",15032,2983,2128,352,9576
"Sup. no Univ. Incompleta (065)",931,128,88,51,666
"Sup. no Univ. Completa (066)",985,106,218,62,601
"Sup. Univ. Incompleta (067)",461,40,59,20,342
"Sup. Univ. Completa (068)",531,31,191,41,274
"Hombres (070)",23641,4758,3426,658,14827
"Sin Nivel (071)",2705,844,418,65,1379
"Educación Inicial (072)",622,337,51,12,223
"Primaria (073)",10184,2220,1425,244,6307
"Secundaria (074)",8638,1258,1241,222,5923
"Sup. no Univ. Incompleta (075)",446,31,43,34,339
"Sup. no Univ. Completa (076)",494,39,113,46,298
"Sup. Univ. Incompleta (077)",256,15,32,8,201
"Sup. Univ. Completa (078)",296,14,103,27,157
"Mujeres (080)",22619,5754,3165,531,13179
"Sin Nivel (081)",4233,988,706,85,2455
"Educación Inicial (082)",572,286,56,22,211
"Primaria (083)",10004,2549,1251,235,5972
"Secundaria (084)",6394,1725,887,130,3653
"Sup. no Univ. Incompleta (085)",485,97,45,17,327
"Sup. no Univ. Completa (086)",491,67,105,16,303
"Sup. Univ. Incompleta (087)",205,25,27,12,141
"Sup. Univ. Completa (088)",235,17,88,14,117
