"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia YAROWILCA (000)",8160,1828,6332
"Red pública dentro de la vivienda (001)",772,482,290
"Red pública fuera de la vivienda (002)",386,248,138
"Pilón de uso público (003)",548,115,433
"Camión - cisterna u otro similar (004)",8,3,5
"Pozo (005)",383,43,340
"Río, acequia, manatial o similar (006)",5869,873,4996
"Vecino (007)",179,56,123
"Otro (008)",15,8,7
,,,
"URBANA (010)",1995,1211,784
"Red pública dentro de la vivienda (011)",390,273,117
"Red pública fuera de la vivienda (012)",292,244,48
"Pilón de uso público (013)",101,47,54
"Camión - cisterna u otro similar (014)",3,3,
"Pozo (015)",84,30,54
"Río, acequia, manatial o similar (016)",977,550,427
"Vecino (017)",136,56,80
"Otro (018)",12,8,4
,,,
"RURAL (020)",6165,617,5548
"Red pública dentro de la vivienda (021)",382,209,173
"Red pública fuera de la vivienda (022)",94,4,90
"Pilón de uso público (023)",447,68,379
"Camión - cisterna u otro similar (024)",5,,5
"Pozo (025)",299,13,286
"Río, acequia, manatial o similar (026)",4892,323,4569
"Vecino (027)",43,,43
"Otro (028)",3,,3
