"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MIGUEL (000)",53034,8894,1086,28534,12014,493,909,297,807
"Quechua (001)",36,4,,13,14,2,1,1,1
"Aymara (002)",15,4,,9,1,,,,1
"Ashaninca (003)",11,1,1,4,5,,,,
"Otra lengua nativa (004)",5,2,,3,,,,,
"Castellano (005)",52876,8817,1084,28490,11988,491,908,296,802
"Idioma extranjero (006)",3,,,,,,,,3
"Es sordomudo/a (007)",88,66,1,15,6,,,,
"Hombres (009)",26156,2588,541,14221,7373,288,508,166,471
"Quechua (010)",19,2,,5,9,1,,1,1
"Aymara (011)",4,,,3,1,,,,
"Ashaninca (012)",8,1,,4,3,,,,
"Otra lengua nativa (013)",3,1,,2,,,,,
"Castellano (014)",26081,2554,540,14200,7357,287,508,165,470
"Es sordomudo/a (016)",41,30,1,7,3,,,,
"Mujeres (018)",26878,6306,545,14313,4641,205,401,131,336
"Quechua (019)",17,2,,8,5,1,1,,
"Aymara (020)",11,4,,6,,,,,1
"Ashaninca (021)",3,,1,,2,,,,
"Otra lengua nativa (022)",2,1,,1,,,,,
"Castellano (023)",26795,6263,544,14290,4631,204,400,131,332
"Idioma extranjero (024)",3,,,,,,,,3
"Es sordomudo/a (025)",47,36,,8,3,,,,
,,,,,,,,,
"URBANA (027)",8625,933,191,3299,2736,216,538,161,551
"Quechua (028)",8,1,,3,3,,,,1
"Aymara (029)",3,,,2,,,,,1
"Ashaninca (030)",1,1,,,,,,,
"Otra lengua nativa (031)",2,1,,1,,,,,
"Castellano (032)",8596,920,191,3292,2732,216,538,161,546
"Idioma extranjero (033)",3,,,,,,,,3
"Es sordomudo/a (034)",12,10,,1,1,,,,
"Hombres (036)",4315,314,95,1546,1573,114,278,89,306
"Quechua (037)",5,,,2,2,,,,1
"Ashaninca (039)",1,1,,,,,,,
"Otra lengua nativa (040)",1,,,1,,,,,
"Castellano (041)",4302,308,95,1542,1571,114,278,89,305
"Es sordomudo/a (043)",6,5,,1,,,,,
"Mujeres (045)",4310,619,96,1753,1163,102,260,72,245
"Quechua (046)",3,1,,1,1,,,,
"Aymara (047)",3,,,2,,,,,1
"Otra lengua nativa (049)",1,1,,,,,,,
"Castellano (050)",4294,612,96,1750,1161,102,260,72,241
"Idioma extranjero (051)",3,,,,,,,,3
"Es sordomudo/a (052)",6,5,,,1,,,,
,,,,,,,,,
"RURAL (054)",44409,7961,895,25235,9278,277,371,136,256
"Quechua (055)",28,3,,10,11,2,1,1,
"Aymara (056)",12,4,,7,1,,,,
"Ashaninca (057)",10,,1,4,5,,,,
"Otra lengua nativa (058)",3,1,,2,,,,,
"Castellano (059)",44280,7897,893,25198,9256,275,370,135,256
"Es sordomudo/a (061)",76,56,1,14,5,,,,
"Hombres (063)",21841,2274,446,12675,5800,174,230,77,165
"Quechua (064)",14,2,,3,7,1,,1,
"Aymara (065)",4,,,3,1,,,,
"Ashaninca (066)",7,,,4,3,,,,
"Otra lengua nativa (067)",2,1,,1,,,,,
"Castellano (068)",21779,2246,445,12658,5786,173,230,76,165
"Es sordomudo/a (070)",35,25,1,6,3,,,,
"Mujeres (072)",22568,5687,449,12560,3478,103,141,59,91
"Quechua (073)",14,1,,7,4,1,1,,
"Aymara (074)",8,4,,4,,,,,
"Ashaninca (075)",3,,1,,2,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",22501,5651,448,12540,3470,102,140,59,91
"Es sordomudo/a (079)",41,31,,8,2,,,,
