"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARCOS (000)",14442,12749,974,356,363
"Hombres (001)",11370,10227,653,239,251
"Mujeres (002)",3072,2522,321,117,112
"De 06 a 14 años (003)",563,497,59,7,
"Hombres (004)",387,350,34,3,
"Mujeres (005)",176,147,25,4,
"De 15 a 29 años (006)",4626,4102,299,104,121
"Hombres (007)",3544,3183,216,66,79
"Mujeres (008)",1082,919,83,38,42
"De 30 a 44 años (009)",4672,3935,425,150,162
"Hombres (010)",3641,3158,263,99,121
"Mujeres (011)",1031,777,162,51,41
"De 45 a 64 años (012)",3355,3022,166,91,76
"Hombres (013)",2742,2507,120,68,47
"Mujeres (014)",613,515,46,23,29
"De 65 y más años (015)",1226,1193,25,4,4
"Hombres (016)",1056,1029,20,3,4
"Mujeres (017)",170,164,5,1,
,,,,,
"URBANA (018)",4343,3213,585,265,280
"Hombres (019)",2902,2155,394,167,186
"Mujeres (020)",1441,1058,191,98,94
"De 06 a 14 años (021)",76,69,4,3,
"Hombres (022)",49,44,4,1,
"Mujeres (023)",27,25,,2,
"De 15 a 29 años (024)",1240,923,166,68,83
"Hombres (025)",811,602,119,39,51
"Mujeres (026)",429,321,47,29,32
"De 30 a 44 años (027)",1711,1175,290,121,125
"Hombres (028)",1121,776,178,77,90
"Mujeres (029)",590,399,112,44,35
"De 45 a 64 años (030)",1014,766,110,70,68
"Hombres (031)",693,523,81,48,41
"Mujeres (032)",321,243,29,22,27
"De 65 y más años (033)",302,280,15,3,4
"Hombres (034)",228,210,12,2,4
"Mujeres (035)",74,70,3,1,
,,,,,
"RURAL (036)",10099,9536,389,91,83
"Hombres (037)",8468,8072,259,72,65
"Mujeres (038)",1631,1464,130,19,18
"De 06 a 14 años (039)",487,428,55,4,
"Hombres (040)",338,306,30,2,
"Mujeres (041)",149,122,25,2,
"De 15 a 29 años (042)",3386,3179,133,36,38
"Hombres (043)",2733,2581,97,27,28
"Mujeres (044)",653,598,36,9,10
"De 30 a 44 años (045)",2961,2760,135,29,37
"Hombres (046)",2520,2382,85,22,31
"Mujeres (047)",441,378,50,7,6
"De 45 a 64 años (048)",2341,2256,56,21,8
"Hombres (049)",2049,1984,39,20,6
"Mujeres (050)",292,272,17,1,2
"De 65 y más años (051)",924,913,10,1,
"Hombres (052)",828,819,8,1,
"Mujeres (053)",96,94,2,,
