"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PADRE ABAD (000)",20103,16558,1358,805,1382
"Empleado (001)",2663,1005,393,449,816
"Obrero (002)",3986,2640,463,333,550
"Trabajador independiente (003)",9938,9569,369,,
"Empleador o patrono (004)",528,469,38,15,6
"Trabajador familiar no remunerado (005)",2623,2510,95,8,10
"Trabajador del hogar (006)",365,365,,,
"De 06 a 14 años (008)",662,622,33,6,1
"Empleado (009)",33,32,1,,
"Obrero (010)",97,81,12,4,
"Trabajador independiente (011)",76,73,3,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",430,410,17,2,1
"Trabajador del hogar (014)",24,24,,,
"De 15 a 29 años (016)",7441,6086,593,277,485
"Empleado (017)",1094,489,164,129,312
"Obrero (018)",1778,1220,252,139,167
"Trabajador independiente (019)",2970,2848,122,,
"Empleador o patrono (020)",135,116,12,5,2
"Trabajador familiar no remunerado (021)",1244,1193,43,4,4
"Trabajador del hogar (022)",220,220,,,
"De 30 a 44 años (024)",7202,5710,483,381,628
"Empleado (025)",1132,344,183,238,367
"Obrero (026)",1325,793,140,136,256
"Trabajador independiente (027)",3829,3706,123,,
"Empleador o patrono (028)",235,209,16,6,4
"Trabajador familiar no remunerado (029)",601,578,21,1,1
"Trabajador del hogar (030)",80,80,,,
"De 45 a 64 años (032)",4072,3459,223,132,258
"Empleado (033)",385,128,44,79,134
"Obrero (034)",695,472,53,48,122
"Trabajador independiente (035)",2544,2437,107,,
"Empleador o patrono (036)",123,111,8,4,
"Trabajador familiar no remunerado (037)",294,280,11,1,2
"Trabajador del hogar (038)",31,31,,,
"De 65 y más años (040)",726,681,26,9,10
"Empleado (041)",19,12,1,3,3
"Obrero (042)",91,74,6,6,5
"Trabajador independiente (043)",519,505,14,,
"Empleador o patrono (044)",33,31,2,,
"Trabajador familiar no remunerado (045)",54,49,3,,2
"Trabajador del hogar (046)",10,10,,,
,,,,,
"URBANA (048)",10691,7641,971,748,1331
"Empleado (049)",2342,820,314,425,783
"Obrero (050)",2351,1199,313,303,536
"Trabajador independiente (051)",4613,4350,263,,
"Empleador o patrono (052)",298,255,25,14,4
"Trabajador familiar no remunerado (053)",840,770,56,6,8
"Trabajador del hogar (054)",247,247,,,
