"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANCHIS (000)",90935,15011,2693,34174,26077,3450,4715,2235,2580
"Jefe o Jefa (001)",26360,4783,22,9401,7112,990,2103,604,1345
"Esposa(o)/ compa¤era(o) (002)",14481,3427,34,5803,3161,441,963,192,460
"Hijo(a)/ hijastro(a) (003)",39532,4592,2220,15228,12819,1630,1250,1225,568
"Yerno/ nuera (004)",1103,42,1,189,496,87,183,38,67
"Nieto(a) (005)",2899,687,277,1288,544,38,18,34,13
"Padres/ suegros (006)",1194,801,,313,57,5,9,5,4
"Otro(a) pariente (007)",4114,537,115,1512,1410,191,146,108,95
"Trabajador(a) del hogar (008)",180,18,1,59,93,5,3,,1
"Pensionista (009)",45,4,,11,23,4,3,,
"Otro(a) no pariente (010)",1027,120,23,370,362,59,37,29,27
"Hombres (012)",43885,4604,1344,16615,14227,1838,2489,1291,1477
"Jefe o Jefa (013)",17760,1519,13,6835,5540,734,1601,472,1046
"Esposa(o)/ compa¤era(o) (014)",749,69,2,228,269,50,71,31,29
"Hijo(a)/ hijastro(a) (015)",20332,2300,1112,7696,6810,854,606,668,286
"Yerno/ nuera (016)",504,13,,61,220,41,105,23,41
"Nieto(a) (017)",1508,349,157,663,286,22,10,17,4
"Padres/ suegros (018)",321,111,,178,24,2,3,3,
"Otro(a) pariente (019)",2071,195,52,731,809,101,69,61,53
"Trabajador(a) del hogar (020)",35,1,1,14,18,,1,,
"Pensionista (021)",19,,,6,11,,2,,
"Otro(a) no pariente (022)",586,47,7,203,240,34,21,16,18
"Mujeres (024)",47050,10407,1349,17559,11850,1612,2226,944,1103
"Jefe o Jefa (025)",8600,3264,9,2566,1572,256,502,132,299
"Esposa(o)/ compa¤era(o) (026)",13732,3358,32,5575,2892,391,892,161,431
"Hijo(a)/ hijastro(a) (027)",19200,2292,1108,7532,6009,776,644,557,282
"Yerno/ nuera (028)",599,29,1,128,276,46,78,15,26
"Nieto(a) (029)",1391,338,120,625,258,16,8,17,9
"Padres/ suegros (030)",873,690,,135,33,3,6,2,4
"Otro(a) pariente (031)",2043,342,63,781,601,90,77,47,42
"Trabajador(a) del hogar (032)",145,17,,45,75,5,2,,1
"Pensionista (033)",26,4,,5,12,4,1,,
"Otro(a) no pariente (034)",441,73,16,167,122,25,16,13,9
,,,,,,,,,
"URBANA (036)",54487,6022,1654,18032,17346,2766,4190,2029,2448
"Jefe o Jefa (037)",15444,1478,2,4301,5047,850,1918,559,1289
"Esposa(o)/ compa¤era(o) (038)",8307,988,7,2940,2421,398,923,183,447
"Hijo(a)/ hijastro(a) (039)",23765,2471,1378,8446,7685,1186,1001,1081,517
"Yerno/ nuera (040)",622,6,1,52,255,66,145,36,61
"Nieto(a) (041)",1575,339,164,669,314,29,16,31,13
"Padres/ suegros (042)",671,372,,225,51,5,9,5,4
"Otro(a) pariente (043)",3083,274,82,1072,1149,170,140,106,90
"Trabajador(a) del hogar (044)",159,13,1,49,88,4,3,,1
