"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia UCAYALI (000)",721,36,327,217,106,35
"Sin nivel (001)",28,2,4,6,11,5
"Primaria (003)",288,24,94,85,62,23
"Secundaria (004)",334,10,189,102,27,6
"Superior no univ. incompleta (005)",18,,11,6,1,
"Superior no univ. completa (006)",30,,17,12,1,
"Superior univ. incompleta (007)",6,,4,1,,1
"Superior univ. completa (008)",17,,8,5,4,
"Hombres (010)",570,24,251,177,87,31
"Sin nivel (011)",21,2,3,3,10,3
"Primaria (013)",232,13,77,69,52,21
"Secundaria (014)",264,9,143,86,20,6
"Superior no univ. incompleta (015)",16,,10,5,1,
"Superior no univ. completa (016)",20,,11,8,1,
"Superior univ. incompleta (017)",4,,2,1,,1
"Superior univ. completa (018)",13,,5,5,3,
"Mujeres (020)",151,12,76,40,19,4
"Sin nivel (021)",7,,1,3,1,2
"Primaria (023)",56,11,17,16,10,2
"Secundaria (024)",70,1,46,16,7,
"Superior no univ. incompleta (025)",2,,1,1,,
"Superior no univ. completa (026)",10,,6,4,,
"Superior univ. incompleta (027)",2,,2,,,
"Superior univ. completa (028)",4,,3,,1,
,,,,,,
"Area Urbana (030)",448,23,202,134,67,22
"Sin nivel (031)",12,2,2,4,1,3
"Primaria (033)",143,14,36,41,38,14
"Secundaria (034)",232,7,128,71,22,4
"Superior no univ. incompleta (035)",13,,9,3,1,
"Superior no univ. completa (036)",26,,15,10,1,
"Superior univ. incompleta (037)",6,,4,1,,1
"Superior univ. completa (038)",16,,8,4,4,
"Hombres (040)",323,18,137,99,50,19
"Sin nivel (041)",6,2,1,2,,1
"Primaria (043)",108,10,27,28,30,13
"Secundaria (044)",166,6,85,56,15,4
"Superior no univ. incompleta (045)",11,,8,2,1,
"Superior no univ. completa (046)",16,,9,6,1,
"Superior univ. incompleta (047)",4,,2,1,,1
"Superior univ. completa (048)",12,,5,4,3,
"Mujeres (050)",125,5,65,35,17,3
"Sin nivel (051)",6,,1,2,1,2
"Primaria (053)",35,4,9,13,8,1
"Secundaria (054)",66,1,43,15,7,
"Superior no univ. incompleta (055)",2,,1,1,,
"Superior no univ. completa (056)",10,,6,4,,
"Superior univ. incompleta (057)",2,,2,,,
"Superior univ. completa (058)",4,,3,,1,
,,,,,,
"Area Rural (060)",273,13,125,83,39,13
"Sin nivel (061)",16,,2,2,10,2
"Primaria (063)",145,10,58,44,24,9
"Secundaria (064)",102,3,61,31,5,2
"Superior no univ. incompleta (065)",5,,2,3,,
"Superior no univ. completa (066)",4,,2,2,,
"Superior univ. completa (068)",1,,,1,,
"Hombres (070)",247,6,114,78,37,12
"Sin nivel (071)",15,,2,1,10,2
"Primaria (073)",124,3,50,41,22,8
"Secundaria (074)",98,3,58,30,5,2
"Superior no univ. incompleta (075)",5,,2,3,,
"Superior no univ. completa (076)",4,,2,2,,
"Superior univ. completa (078)",1,,,1,,
"Mujeres (080)",26,7,11,5,2,1
"Sin nivel (081)",1,,,1,,
"Primaria (083)",21,7,8,3,2,1
"Secundaria (084)",4,,3,1,,
