"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",11220,502,4315,3634,2295,474
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",16,,2,6,8,
"Profes., científicos e intelectuales (002)",429,,110,253,65,1
"Técnicos de nivel medio y trab.asimilados (003)",99,,33,41,22,3
"Jefes y empleados de oficina (004)",76,,26,37,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",463,5,168,181,96,13
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4894,,1302,1887,1381,324
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",288,2,97,105,72,12
"Obreros construc., conf., papel, fab., instr. (008)",262,1,84,104,67,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3870,437,2126,801,430,76
"Otra (010)",26,,13,13,,
"Ocupación no especificada (011)",165,,68,56,30,11
"Desocupado (012)",632,57,286,150,111,28
"Hombres (013)",9064,338,3502,2906,1909,409
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",13,,,5,8,
"Profes., científicos e intelectuales (015)",238,,51,139,47,1
"Técnicos de nivel medio y trab.asimilados (016)",68,,20,28,17,3
"Jefes y empleados de oficina (017)",47,,8,28,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",193,1,66,69,47,10
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4585,,1227,1778,1287,293
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",269,1,92,102,63,11
"Obreros construc., conf., papel, fab., instr. (021)",260,1,83,103,67,6
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2847,300,1729,502,261,55
"Otra (023)",26,,13,13,,
"Ocupación no especificada (024)",40,,13,15,7,5
"Desocupado (025)",478,35,200,124,94,25
"Mujeres (026)",2156,164,813,728,386,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,2,1,,
"Profes., científicos e intelectuales (028)",191,,59,114,18,
"Técnicos de nivel medio y trab.asimilados (029)",31,,13,13,5,
"Jefes y empleados de oficina (030)",29,,18,9,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",270,4,102,112,49,3
"Agricult.trabaj. calif. agrop. y pesqueros (032)",309,,75,109,94,31
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",19,1,5,3,9,1
"Obreros construc., conf., papel, fab., instr. (034)",2,,1,1,,
