"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CONDESUYOS (000)",6355,6193,1668,796,842,671,892,613,711,162
"Católica (001)",5691,5548,1479,714,756,614,797,551,637,143
"Cristiana/Evangélica (002)",332,324,79,46,45,30,41,37,46,8
"Otra (003)",255,248,76,25,35,23,45,20,24,7
"Ninguna (004)",77,73,34,11,6,4,9,5,4,4
,,,,,,,,,,
"URBANA (006)",2909,2843,841,378,409,380,367,237,231,66
"Católica (007)",2614,2554,743,345,366,351,329,214,206,60
"Cristiana/Evangélica (008)",161,156,47,20,27,15,14,16,17,5
"Otra (009)",98,97,34,7,12,12,20,5,7,1
"Ninguna (010)",36,36,17,6,4,2,4,2,1,
,,,,,,,,,,
"RURAL (012)",3446,3350,827,418,433,291,525,376,480,96
"Católica (013)",3077,2994,736,369,390,263,468,337,431,83
"Cristiana/Evangélica (014)",171,168,32,26,18,15,27,21,29,3
"Otra (015)",157,151,42,18,23,11,25,15,17,6
"Ninguna (016)",41,37,17,5,2,2,5,3,3,4
