"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL COLLAO (000)",21954,144,6840,7806,2545,811,352,157,38,,3261
"Conviviente (001)",4622,28,1485,1598,537,151,67,21,2,,733
"Separado(a) (002)",661,7,206,240,92,31,13,4,4,,64
"Casado(a) (003)",12763,74,4206,4921,1551,474,212,98,25,,1202
"Viudo(a) (004)",2444,24,757,850,281,121,43,32,7,,329
"Divorciado(a) (005)",129,2,42,38,19,4,4,1,,,19
"Soltero(a) (006)",1335,9,144,159,65,30,13,1,,,914
,,,,,,,,,,,
"URBANA (008)",6448,37,1778,2115,838,297,151,39,15,,1178
"Conviviente (009)",1866,12,538,622,250,84,33,6,2,,319
"Separado(a) (010)",299,5,93,100,46,13,9,3,3,,27
"Casado(a) (011)",3290,12,969,1191,450,162,80,28,7,,391
"Viudo(a) (012)",430,5,109,129,50,27,20,2,3,,85
"Divorciado(a) (013)",45,1,18,9,10,,2,,,,5
"Soltero(a) (014)",518,2,51,64,32,11,7,,,,351
,,,,,,,,,,,
"RURAL (016)",15506,107,5062,5691,1707,514,201,118,23,,2083
"Conviviente (017)",2756,16,947,976,287,67,34,15,,,414
"Separado(a) (018)",362,2,113,140,46,18,4,1,1,,37
"Casado(a) (019)",9473,62,3237,3730,1101,312,132,70,18,,811
"Viudo(a) (020)",2014,19,648,721,231,94,23,30,4,,244
"Divorciado(a) (021)",84,1,24,29,9,4,2,1,,,14
"Soltero(a) (022)",817,7,93,95,33,19,6,1,,,563
