"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ILO (000)",43647,43249,398
"Hombres (001)",22080,21880,200
"Mujeres (002)",21567,21369,198
"De 18 a 29 años (003)",13595,13312,283
"Hombres (004)",6744,6586,158
"Mujeres (005)",6851,6726,125
"De 30 a 44 años (006)",15232,15198,34
"Hombres (007)",7529,7513,16
"Mujeres (008)",7703,7685,18
"De 45 a 64 años (009)",11269,11240,29
"Hombres (010)",5835,5820,15
"Mujeres (011)",5434,5420,14
"De 65 y más años (012)",3551,3499,52
"Hombres (013)",1972,1961,11
"Mujeres (014)",1579,1538,41
,,,
"URBANA (015)",43001,42630,371
"Hombres (016)",21543,21370,173
"Mujeres (017)",21458,21260,198
"De 18 a 29 años (018)",13223,12964,259
"Hombres (019)",6413,6279,134
"Mujeres (020)",6810,6685,125
"De 30 a 44 años (021)",15100,15067,33
"Hombres (022)",7415,7400,15
"Mujeres (023)",7685,7667,18
"De 45 a 64 años (024)",11160,11133,27
"Hombres (025)",5760,5747,13
"Mujeres (026)",5400,5386,14
"De 65 y más años (027)",3518,3466,52
"Hombres (028)",1955,1944,11
"Mujeres (029)",1563,1522,41
,,,
"RURAL (030)",646,619,27
"Hombres (031)",537,510,27
"Mujeres (032)",109,109,
"De 18 a 29 años (033)",372,348,24
"Hombres (034)",331,307,24
"Mujeres (035)",41,41,
"De 30 a 44 años (036)",132,131,1
"Hombres (037)",114,113,1
"Mujeres (038)",18,18,
"De 45 a 64 años (039)",109,107,2
"Hombres (040)",75,73,2
"Mujeres (041)",34,34,
"De 65 y más años (042)",33,33,
"Hombres (043)",17,17,
"Mujeres (044)",16,16,
