"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAYLLOMA (000)",69270,16934,5598,2536,44542
"Quechua (001)",23281,5867,1142,657,15715
"Aymara (002)",1142,61,60,31,992
"Asháninka (003)",10,2,2,1,5
"Otra lengua nativa (004)",109,23,9,2,76
"Castellano (005)",44656,10965,4385,1838,27705
"Idioma Extranjero (006)",21,,,7,14
"Es Sordomudo/a (007)",51,16,,,35
"Hombres (009)",35597,8123,3217,1592,22952
"Quechua (010)",11533,2652,730,429,7814
"Aymara (011)",573,21,37,22,495
"Asháninka (012)",5,1,1,1,2
"Otra lengua nativa (013)",53,12,5,,36
"Castellano (014)",23384,5428,2444,1135,14570
"Idioma Extranjero (015)",15,,,5,10
"Es Sordomudo/a (016)",34,9,,,25
"Mujeres (018)",33673,8811,2381,944,21590
"Quechua (019)",11748,3215,412,228,7901
"Aymara (020)",569,40,23,9,497
"Asháninka (021)",5,1,1,,3
"Otra lengua nativa (022)",56,11,4,2,40
"Castellano (023)",21272,5537,1941,703,13135
"Idioma Extranjero (024)",6,,,2,4
"Es Sordomudo/a (025)",17,7,,,10
,,,,,
"URBANA (027)",46180,11707,3732,1523,29278
"Quechua (028)",14277,3031,761,376,10118
"Aymara (029)",836,51,47,20,718
"Asháninka (030)",7,1,2,,4
"Otra lengua nativa (031)",105,21,9,2,74
"Castellano (032)",30915,8594,2913,1122,18336
"Idioma Extranjero (033)",15,,,3,12
"Es Sordomudo/a (034)",25,9,,,16
"Hombres (036)",23148,5602,2002,921,14658
"Quechua (037)",6784,1316,443,232,4798
"Aymara (038)",419,18,27,13,361
"Asháninka (039)",4,1,1,,2
"Otra lengua nativa (040)",49,10,5,,34
"Castellano (041)",15859,4250,1526,673,9440
"Idioma Extranjero (042)",13,,,3,10
"Es Sordomudo/a (043)",20,7,,,13
"Mujeres (045)",23032,6105,1730,602,14620
"Quechua (046)",7493,1715,318,144,5320
"Aymara (047)",417,33,20,7,357
"Asháninka (048)",3,,1,,2
"Otra lengua nativa (049)",56,11,4,2,40
"Castellano (050)",15056,4344,1387,449,8896
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",5,2,,,3
,,,,,
"RURAL (054)",23090,5227,1866,1013,15264
"Quechua (055)",9004,2836,381,281,5597
"Aymara (056)",306,10,13,11,274
"Asháninka (057)",3,1,,1,1
"Otra lengua nativa (058)",4,2,,,2
"Castellano (059)",13741,2371,1472,716,9369
"Idioma Extranjero (060)",6,,,4,2
"Es Sordomudo/a (061)",26,7,,,19
"Hombres (063)",12449,2521,1215,671,8294
"Quechua (064)",4749,1336,287,197,3016
"Aymara (065)",154,3,10,9,134
"Asháninka (066)",1,,,1,
"Otra lengua nativa (067)",4,2,,,2
"Castellano (068)",7525,1178,918,462,5130
"Idioma Extranjero (069)",2,,,2,
"Es Sordomudo/a (070)",14,2,,,12
"Mujeres (072)",10641,2706,651,342,6970
"Quechua (073)",4255,1500,94,84,2581
"Aymara (074)",152,7,3,2,140
"Asháninka (075)",2,1,,,1
"Castellano (077)",6216,1193,554,254,4239
"Idioma Extranjero (078)",4,,,2,2
"Es Sordomudo/a (079)",12,5,,,7
