"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia OYON (000)",12720,12342,378
"Hombres (001)",6830,6751,79
"Mujeres (002)",5890,5591,299
"De 18 a 29 años (003)",3943,3816,127
"Hombres (004)",2145,2102,43
"Mujeres (005)",1798,1714,84
"De 30 a 44 años (006)",4295,4259,36
"Hombres (007)",2404,2392,12
"Mujeres (008)",1891,1867,24
"De 45 a 64 años (009)",2910,2856,54
"Hombres (010)",1553,1546,7
"Mujeres (011)",1357,1310,47
"De 65 y más años (012)",1572,1411,161
"Hombres (013)",728,711,17
"Mujeres (014)",844,700,144
,,,
"URBANA (015)",7750,7528,222
"Hombres (016)",3686,3645,41
"Mujeres (017)",4064,3883,181
"De 18 a 29 años (018)",2410,2331,79
"Hombres (019)",1145,1117,28
"Mujeres (020)",1265,1214,51
"De 30 a 44 años (021)",2580,2561,19
"Hombres (022)",1234,1230,4
"Mujeres (023)",1346,1331,15
"De 45 a 64 años (024)",1738,1708,30
"Hombres (025)",842,839,3
"Mujeres (026)",896,869,27
"De 65 y más años (027)",1022,928,94
"Hombres (028)",465,459,6
"Mujeres (029)",557,469,88
,,,
"RURAL (030)",4970,4814,156
"Hombres (031)",3144,3106,38
"Mujeres (032)",1826,1708,118
"De 18 a 29 años (033)",1533,1485,48
"Hombres (034)",1000,985,15
"Mujeres (035)",533,500,33
"De 30 a 44 años (036)",1715,1698,17
"Hombres (037)",1170,1162,8
"Mujeres (038)",545,536,9
"De 45 a 64 años (039)",1172,1148,24
"Hombres (040)",711,707,4
"Mujeres (041)",461,441,20
"De 65 y más años (042)",550,483,67
"Hombres (043)",263,252,11
"Mujeres (044)",287,231,56
