"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJATAMBO (000)",2864,2167,191,165,341
"Empleado (001)",579,135,85,144,215
"Obrero (002)",526,336,47,18,125
"Trabajador independiente (003)",1224,1191,33,,
"Empleador o patrono (004)",59,54,5,,
"Trabajador familiar no remunerado (005)",422,397,21,3,1
"Trabajador del hogar (006)",54,54,,,
"De 06 a 14 años (008)",64,59,5,,
"Empleado (009)",2,2,,,
"Obrero (010)",6,5,1,,
"Trabajador independiente (011)",17,17,,,
"Trabajador familiar no remunerado (013)",38,34,4,,
"Trabajador del hogar (014)",1,1,,,
"De 15 a 29 años (016)",700,509,55,27,109
"Empleado (017)",131,37,21,19,54
"Obrero (018)",172,93,18,7,54
"Trabajador independiente (019)",209,203,6,,
"Empleador o patrono (020)",10,9,1,,
"Trabajador familiar no remunerado (021)",159,148,9,1,1
"Trabajador del hogar (022)",19,19,,,
"De 30 a 44 años (024)",988,667,83,88,150
"Empleado (025)",296,63,49,80,104
"Obrero (026)",186,120,12,8,46
"Trabajador independiente (027)",377,362,15,,
"Empleador o patrono (028)",15,13,2,,
"Trabajador familiar no remunerado (029)",96,91,5,,
"Trabajador del hogar (030)",18,18,,,
"De 45 a 64 años (032)",780,618,38,48,76
"Empleado (033)",142,29,14,45,54
"Obrero (034)",121,85,12,2,22
"Trabajador independiente (035)",407,397,10,,
"Empleador o patrono (036)",20,19,1,,
"Trabajador familiar no remunerado (037)",83,81,1,1,
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",332,314,10,2,6
"Empleado (041)",8,4,1,,3
"Obrero (042)",41,33,4,1,3
"Trabajador independiente (043)",214,212,2,,
"Empleador o patrono (044)",14,13,1,,
"Trabajador familiar no remunerado (045)",46,43,2,1,
"Trabajador del hogar (046)",9,9,,,
,,,,,
"URBANA (048)",1734,1269,128,148,189
"Empleado (049)",461,102,61,129,169
"Obrero (050)",302,234,32,17,19
"Trabajador independiente (051)",680,660,20,,
"Empleador o patrono (052)",40,36,4,,
"Trabajador familiar no remunerado (053)",204,190,11,2,1
"Trabajador del hogar (054)",47,47,,,
"De 06 a 14 años (056)",45,42,3,,
"Empleado (057)",2,2,,,
"Obrero (058)",3,3,,,
"Trabajador independiente (059)",13,13,,,
