"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia POMABAMBA (000)",23998,6823,6613,4640,3824,2098
"Hombres (001)",11498,3405,3180,2255,1783,875
"Mujeres (002)",12500,3418,3433,2385,2041,1223
"PEA (003)",6244,85,1882,2243,1554,480
"Hombres (004)",4887,57,1435,1731,1265,399
"Mujeres (005)",1357,28,447,512,289,81
"Ocupada (006)",5891,77,1704,2161,1498,451
"Hombres (007)",4623,54,1312,1667,1220,370
"Mujeres (008)",1268,23,392,494,278,81
"Desocupada (009)",353,8,178,82,56,29
"Hombres (010)",264,3,123,64,45,29
"Mujeres (011)",89,5,55,18,11,
"No PEA (012)",17754,6738,4731,2397,2270,1618
"Hombres (013)",6611,3348,1745,524,518,476
"Mujeres (014)",11143,3390,2986,1873,1752,1142
,,,,,,
"URBANA (018)",5411,1219,1599,1243,917,433
"Hombres (019)",2620,597,764,629,442,188
"Mujeres (020)",2791,622,835,614,475,245
"PEA (021)",2044,19,569,833,515,108
"Hombres (022)",1295,14,344,521,341,75
"Mujeres (023)",749,5,225,312,174,33
"Ocupada (024)",1953,19,516,807,506,105
"Hombres (025)",1236,14,307,506,337,72
"Mujeres (026)",717,5,209,301,169,33
"Desocupada (027)",91,,53,26,9,3
"Hombres (028)",59,,37,15,4,3
"Mujeres (029)",32,,16,11,5,
"No PEA (030)",3367,1200,1030,410,402,325
"Hombres (031)",1325,583,420,108,101,113
"Mujeres (032)",2042,617,610,302,301,212
,,,,,,
"RURAL (036)",18587,5604,5014,3397,2907,1665
"Hombres (037)",8878,2808,2416,1626,1341,687
"Mujeres (038)",9709,2796,2598,1771,1566,978
"PEA (039)",4200,66,1313,1410,1039,372
"Hombres (040)",3592,43,1091,1210,924,324
"Mujeres (041)",608,23,222,200,115,48
"Ocupada (042)",3938,58,1188,1354,992,346
"Hombres (043)",3387,40,1005,1161,883,298
"Mujeres (044)",551,18,183,193,109,48
"Desocupada (045)",262,8,125,56,47,26
"Hombres (046)",205,3,86,49,41,26
"Mujeres (047)",57,5,39,7,6,
"No PEA (048)",14387,5538,3701,1987,1868,1293
"Hombres (049)",5286,2765,1325,416,417,363
"Mujeres (050)",9101,2773,2376,1571,1451,930
