"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PAUCAR DEL SARA SARA (000)",6960,6748,212
"Hombres (001)",3546,3473,73
"Mujeres (002)",3414,3275,139
"De 18 a 29 años (003)",1797,1749,48
"Hombres (004)",986,960,26
"Mujeres (005)",811,789,22
"De 30 a 44 años (006)",1953,1940,13
"Hombres (007)",994,987,7
"Mujeres (008)",959,953,6
"De 45 a 64 años (009)",1784,1767,17
"Hombres (010)",931,925,6
"Mujeres (011)",853,842,11
"De 65 y más años (012)",1426,1292,134
"Hombres (013)",635,601,34
"Mujeres (014)",791,691,100
,,,
"URBANA (015)",4617,4489,128
"Hombres (016)",2293,2253,40
"Mujeres (017)",2324,2236,88
"De 18 a 29 años (018)",1237,1206,31
"Hombres (019)",660,642,18
"Mujeres (020)",577,564,13
"De 30 a 44 años (021)",1339,1330,9
"Hombres (022)",655,651,4
"Mujeres (023)",684,679,5
"De 45 a 64 años (024)",1169,1159,10
"Hombres (025)",610,606,4
"Mujeres (026)",559,553,6
"De 65 y más años (027)",872,794,78
"Hombres (028)",368,354,14
"Mujeres (029)",504,440,64
,,,
"RURAL (030)",2343,2259,84
"Hombres (031)",1253,1220,33
"Mujeres (032)",1090,1039,51
"De 18 a 29 años (033)",560,543,17
"Hombres (034)",326,318,8
"Mujeres (035)",234,225,9
"De 30 a 44 años (036)",614,610,4
"Hombres (037)",339,336,3
"Mujeres (038)",275,274,1
"De 45 a 64 años (039)",615,608,7
"Hombres (040)",321,319,2
"Mujeres (041)",294,289,5
"De 65 y más años (042)",554,498,56
"Hombres (043)",267,247,20
"Mujeres (044)",287,251,36
