"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJABAMBA (000)",22020,721,7770,6916,4850,1763
"Empleado (001)",2206,25,632,1080,438,31
"Obrero (002)",3095,61,1295,975,599,165
"Trabajador independiente (003)",11633,114,3116,3881,3196,1326
"Empleador o patrono (004)",146,2,43,40,38,23
"Trabajador familiar no remunerado (005)",3464,372,1905,639,393,155
"Trabajador del hogar (006)",545,44,259,114,97,31
"Desocupado (008)",931,103,520,187,89,32
"Hombres (009)",17594,543,6194,5414,3914,1529
"Empleado (010)",1184,15,345,569,233,22
"Obrero (011)",2804,55,1177,875,542,155
"Trabajador independiente (012)",10054,100,2663,3332,2772,1187
"Empleador o patrono (013)",123,2,35,34,31,21
"Trabajador familiar no remunerado (014)",2713,306,1599,444,252,112
"Trabajador del hogar (015)",31,5,13,6,5,2
"Desocupado (017)",685,60,362,154,79,30
"Mujeres (018)",4426,178,1576,1502,936,234
"Empleado (019)",1022,10,287,511,205,9
"Obrero (020)",291,6,118,100,57,10
"Trabajador independiente (021)",1579,14,453,549,424,139
"Empleador o patrono (022)",23,,8,6,7,2
"Trabajador familiar no remunerado (023)",751,66,306,195,141,43
"Trabajador del hogar (024)",514,39,246,108,92,29
"Desocupado (026)",246,43,158,33,10,2
,,,,,,
"URBANA (027)",6142,108,1906,2306,1471,351
"Empleado (028)",1878,19,522,928,382,27
"Obrero (029)",719,12,268,234,165,40
"Trabajador independiente (030)",2564,16,680,898,746,224
"Empleador o patrono (031)",67,,27,16,20,4
"Trabajador familiar no remunerado (032)",353,36,123,86,78,30
"Trabajador del hogar (033)",273,20,139,56,43,15
"Desocupado (035)",288,5,147,88,37,11
"Hombres (036)",3818,65,1239,1352,920,242
"Empleado (037)",1010,14,293,487,195,21
"Obrero (038)",645,11,248,206,143,37
"Trabajador independiente (039)",1710,12,483,552,508,155
"Empleador o patrono (040)",50,,20,13,14,3
"Trabajador familiar no remunerado (041)",174,23,82,26,27,16
"Trabajador del hogar (042)",12,1,5,3,2,1
"Desocupado (044)",217,4,108,65,31,9
"Mujeres (045)",2324,43,667,954,551,109
"Empleado (046)",868,5,229,441,187,6
"Obrero (047)",74,1,20,28,22,3
"Trabajador independiente (048)",854,4,197,346,238,69
"Empleador o patrono (049)",17,,7,3,6,1
"Trabajador familiar no remunerado (050)",179,13,41,60,51,14
"Trabajador del hogar (051)",261,19,134,53,41,14
"Desocupado (053)",71,1,39,23,6,2
,,,,,,
"RURAL (054)",15878,613,5864,4610,3379,1412
"Empleado (055)",328,6,110,152,56,4
"Obrero (056)",2376,49,1027,741,434,125
"Trabajador independiente (057)",9069,98,2436,2983,2450,1102
"Empleador o patrono (058)",79,2,16,24,18,19
"Trabajador familiar no remunerado (059)",3111,336,1782,553,315,125
"Trabajador del hogar (060)",272,24,120,58,54,16
"Desocupado (062)",643,98,373,99,52,21
"Hombres (063)",13776,478,4955,4062,2994,1287
"Empleado (064)",174,1,52,82,38,1
"Obrero (065)",2159,44,929,669,399,118
"Trabajador independiente (066)",8344,88,2180,2780,2264,1032
"Empleador o patrono (067)",73,2,15,21,17,18
"Trabajador familiar no remunerado (068)",2539,283,1517,418,225,96
"Trabajador del hogar (069)",19,4,8,3,3,1
"Desocupado (071)",468,56,254,89,48,21
"Mujeres (072)",2102,135,909,548,385,125
"Empleado (073)",154,5,58,70,18,3
"Obrero (074)",217,5,98,72,35,7
"Trabajador independiente (075)",725,10,256,203,186,70
"Empleador o patrono (076)",6,,1,3,1,1
"Trabajador familiar no remunerado (077)",572,53,265,135,90,29
"Trabajador del hogar (078)",253,20,112,55,51,15
"Desocupado (080)",175,42,119,10,4,
