"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARMEY (000)",7557,7156,34,1649,1621,1150,1425,785,341,151,401,24156
"De 12 a 14 años (001)",12,6,1,5,,,,,,,6,5
"De 15 a 19 años (002)",181,153,1,130,20,1,1,,,,28,177
"De 20 a 24 años (003)",805,701,6,474,191,26,4,,,,104,952
"De 25 a 29 años (004)",938,848,3,363,323,109,48,2,,,90,1549
"De 30 a 34 años (005)",1016,965,3,250,364,195,133,17,2,1,51,2264
"De 35 a 39 años (006)",976,938,3,139,266,277,217,30,6,,38,2693
"De 40 a 44 años (007)",725,693,2,82,143,162,205,80,19,,32,2421
"De 45 a 49 años (008)",605,594,2,64,102,125,176,86,31,8,11,2315
"De 50 y más años (009)",2299,2258,13,142,212,255,641,570,283,142,41,11780
"PEA (010)",2571,2389,12,614,592,437,453,187,69,25,182,7139
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",31,27,,25,2,,,,,,4,29
"De 20 a 24 años (013)",223,175,,125,42,8,,,,,48,233
"De 25 a 29 años (014)",333,283,1,142,96,31,13,,,,50,480
"De 30 a 34 años (015)",403,374,3,110,153,66,37,4,1,,29,802
"De 35 a 39 años (016)",404,389,1,77,107,120,81,3,,,15,1023
"De 40 a 44 años (017)",358,340,1,47,85,74,95,33,5,,18,1100
"De 45 a 49 años (018)",244,237,2,39,41,52,70,26,6,1,7,813
"De 50 y más años (019)",574,563,4,48,66,86,157,121,57,24,11,2658
"Ocupada (020)",2476,2305,10,587,565,425,445,181,67,25,171,6932
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",27,24,,22,2,,,,,,3,26
