"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO",,,,,,,,,
"Hogares (001)",13241,320,125,78,59,38,25,26,12570
"Ocupantes presentes (002)",56089,1162,444,249,199,181,111,170,53573
"Casa independiente",,,,,,,,,
"Hogares (004)",12747,306,117,76,57,36,22,26,12107
"Ocupantes presentes (005)",53960,1124,419,242,194,173,92,170,51546
"Departamento en edificio",,,,,,,,,
"Hogares (007)",90,7,4,2,1,2,3,,71
"Ocupantes presentes (008)",395,19,13,7,4,8,19,,325
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",12,1,,,,,,,11
"Ocupantes presentes (011)",34,2,,,,,,,32
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",101,2,4,,1,,,,94
"Ocupantes presentes (014)",387,5,12,,1,,,,369
"Choza o cabaña",,,,,,,,,
"Hogares (016)",278,2,,,,,,,276
"Ocupantes presentes (017)",1268,5,,,,,,,1263
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",5,,,,,,,,5
"Ocupantes presentes (020)",26,,,,,,,,26
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,2,,,,,,,6
"Ocupantes presentes (023)",19,7,,,,,,,12
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4899,179,78,52,41,28,16,18,4487
"Ocupantes presentes (029)",19753,626,267,164,145,129,66,112,18244
"Casa independiente",,,,,,,,,
"Hogares (031)",4684,168,70,50,39,26,13,18,4300
"Ocupantes presentes (032)",18895,596,242,157,140,121,47,112,17480
"Departamento en edificio",,,,,,,,,
"Hogares (034)",90,7,4,2,1,2,3,,71
"Ocupantes presentes (035)",395,19,13,7,4,8,19,,325
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",12,1,,,,,,,11
"Ocupantes presentes (038)",34,2,,,,,,,32
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",101,2,4,,1,,,,94
"Ocupantes presentes (041)",387,5,12,,1,,,,369
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",5,,,,,,,,5
"Ocupantes presentes (047)",26,,,,,,,,26
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",7,1,,,,,,,6
"Ocupantes presentes (050)",16,4,,,,,,,12
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",8342,141,47,26,18,10,9,8,8083
"Ocupantes presentes (056)",36336,536,177,85,54,52,45,58,35329
"Casa independiente",,,,,,,,,
"Hogares (058)",8063,138,47,26,18,10,9,8,7807
"Ocupantes presentes (059)",35065,528,177,85,54,52,45,58,34066
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",278,2,,,,,,,276
"Ocupantes presentes (071)",1268,5,,,,,,,1263
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
