"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia GRAN CHIMU",,,,,,,
"Hogares (001)",7523,235,80,102,115,171,6894
"Ocupantes presentes (002)",29400,927,297,503,504,691,26810
"Casa independiente",,,,,,,
"Hogares (004)",7408,229,79,99,111,170,6792
"Ocupantes presentes (005)",29027,904,296,487,487,690,26486
"Departamento en edificio",,,,,,,
"Hogares (007)",24,1,,,,,23
"Ocupantes presentes (008)",66,1,,,,,65
"Vivienda en quinta",,,,,,,
"Hogares (010)",9,1,1,,,,8
"Ocupantes presentes (011)",44,1,1,,,,43
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",25,2,,2,1,,20
"Ocupantes presentes (014)",97,13,,8,2,,74
"Choza o cabaña",,,,,,,
"Hogares (016)",53,2,,1,3,1,47
"Ocupantes presentes (017)",160,8,,8,15,1,136
"Vivienda improvisada",,,,,,,
"Hogares (019)",2,,,,,,2
"Ocupantes presentes (020)",3,,,,,,3
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",2,,,,,,2
"Ocupantes presentes (023)",3,,,,,,3
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",1722,120,25,20,20,32,1529
"Ocupantes presentes (029)",6480,519,79,116,107,128,5635
"Casa independiente",,,,,,,
"Hogares (031)",1661,116,24,18,19,32,1475
"Ocupantes presentes (032)",6268,504,78,108,105,128,5448
"Departamento en edificio",,,,,,,
"Hogares (034)",24,1,,,,,23
"Ocupantes presentes (035)",66,1,,,,,65
"Vivienda en quinta",,,,,,,
"Hogares (037)",9,1,1,,,,8
"Ocupantes presentes (038)",44,1,1,,,,43
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",25,2,,2,1,,20
"Ocupantes presentes (041)",97,13,,8,2,,74
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",2,,,,,,2
"Ocupantes presentes (047)",3,,,,,,3
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",1,,,,,,1
"Ocupantes presentes (050)",2,,,,,,2
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",5801,115,55,82,95,139,5365
"Ocupantes presentes (056)",22920,408,218,387,397,563,21175
"Casa independiente",,,,,,,
"Hogares (058)",5747,113,55,81,92,138,5317
"Ocupantes presentes (059)",22759,400,218,379,382,562,21038
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",53,2,,1,3,1,47
"Ocupantes presentes (071)",160,8,,8,15,1,136
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",1,,,,,,1
"Ocupantes presentes (077)",1,,,,,,1
"Otro tipo",,,,,,,
