"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MELGAR (000)",1400,696,704
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",11,11,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",80,78,2
"Aldea infantil, orfelinato, etc (007)",88,88,
"Otro (008)",1027,327,700
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",192,190,2
