"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",28721,21424,7297
"De 3 a 5 años (001)",4930,157,4773
"De 6 a 11 años (002)",8046,5972,2074
"De 12 a 16 años (003)",6992,6846,146
"De 17 a 24 años (004)",8753,8449,304
"Hombres (005)",15025,11291,3734
"De 3 a 5 años (006)",2525,77,2448
"De 6 a 11 años (007)",4096,3027,1069
"De 12 a 16 años (008)",3608,3525,83
"De 17 a 24 años (009)",4796,4662,134
"Mujeres (010)",13696,10133,3563
"De 3 a 5 años (011)",2405,80,2325
"De 6 a 11 años (012)",3950,2945,1005
"De 12 a 16 años (013)",3384,3321,63
"De 17 a 24 años (014)",3957,3787,170
,,,
"URBANA (015)",8525,6806,1719
"De 3 a 5 años (016)",1378,69,1309
"De 6 a 11 años (017)",2149,1803,346
"De 12 a 16 años (018)",2281,2259,22
"De 17 a 24 años (019)",2717,2675,42
"Hombres (020)",4359,3503,856
"De 3 a 5 años (021)",695,36,659
"De 6 a 11 años (022)",1069,906,163
"De 12 a 16 años (023)",1161,1149,12
"De 17 a 24 años (024)",1434,1412,22
"Mujeres (025)",4166,3303,863
"De 3 a 5 años (026)",683,33,650
"De 6 a 11 años (027)",1080,897,183
"De 12 a 16 años (028)",1120,1110,10
"De 17 a 24 años (029)",1283,1263,20
,,,
"RURAL (030)",20196,14618,5578
"De 3 a 5 años (031)",3552,88,3464
"De 6 a 11 años (032)",5897,4169,1728
"De 12 a 16 años (033)",4711,4587,124
"De 17 a 24 años (034)",6036,5774,262
"Hombres (035)",10666,7788,2878
"De 3 a 5 años (036)",1830,41,1789
"De 6 a 11 años (037)",3027,2121,906
"De 12 a 16 años (038)",2447,2376,71
"De 17 a 24 años (039)",3362,3250,112
"Mujeres (040)",9530,6830,2700
"De 3 a 5 años (041)",1722,47,1675
"De 6 a 11 años (042)",2870,2048,822
"De 12 a 16 años (043)",2264,2211,53
"De 17 a 24 años (044)",2674,2524,150
