"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SANDIA",,,,,,
"Viviendas particulares (001)",19006,18759,219,27,1,
"Ocupantes presentes (002)",61326,59393,1611,309,13,
"Casa independiente",,,,,,
"Viviendas particulares (004)",16797,16558,211,27,1,
"Ocupantes presentes (005)",56093,54211,1560,309,13,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",11,11,,,,
"Ocupantes presentes (011)",22,22,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",402,396,6,,,
"Ocupantes presentes (014)",1142,1101,41,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1710,1709,1,,,
"Ocupantes presentes (017)",3815,3808,7,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",45,44,1,,,
"Ocupantes presentes (020)",156,153,3,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",20,20,,,,
"Ocupantes presentes (023)",36,36,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",21,21,,,,
"Ocupantes presentes (026)",62,62,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4404,4260,124,19,1,
"Ocupantes presentes (029)",15848,14737,887,211,13,
"Casa independiente",,,,,,
"Viviendas particulares (031)",3933,3796,117,19,1,
"Ocupantes presentes (032)",14499,13432,843,211,13,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",11,11,,,,
"Ocupantes presentes (038)",22,22,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",402,396,6,,,
"Ocupantes presentes (041)",1142,1101,41,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",45,44,1,,,
"Ocupantes presentes (047)",156,153,3,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",8,8,,,,
"Ocupantes presentes (050)",12,12,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",5,5,,,,
"Ocupantes presentes (053)",17,17,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",14602,14499,95,8,,
"Ocupantes presentes (056)",45478,44656,724,98,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",12864,12762,94,8,,
"Ocupantes presentes (059)",41594,40779,717,98,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1710,1709,1,,,
"Ocupantes presentes (071)",3815,3808,7,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",12,12,,,,
"Ocupantes presentes (077)",24,24,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",16,16,,,,
"Ocupantes presentes (080)",45,45,,,,
