"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia QUISPICANCHI (000)",74624,15583,2267,36008,16558,1248,1126,872,962
"Jefe o Jefa (001)",19959,4007,19,10323,4284,284,380,231,431
"Esposa(o)/ compa¤era(o) (002)",13093,4421,33,5973,2063,160,195,82,166
"Hijo(a)/ hijastro(a) (003)",33009,4995,1925,16052,8269,641,415,463,249
"Yerno/ nuera (004)",696,51,,228,304,29,39,19,26
"Nieto(a) (005)",1765,478,168,828,251,17,6,11,6
"Padres/ suegros (006)",942,681,,214,37,2,6,,2
"Otro(a) pariente (007)",4027,825,117,1925,951,80,40,47,42
"Trabajador(a) del hogar (008)",114,15,1,60,35,1,,,2
"Pensionista (009)",34,2,,8,17,2,1,2,2
"Otro(a) no pariente (010)",985,108,4,397,347,32,44,17,36
"Hombres (012)",36971,4781,1160,18751,9973,651,587,511,557
"Jefe o Jefa (013)",14201,1545,10,8221,3424,197,281,182,341
"Esposa(o)/ compa¤era(o) (014)",1340,136,2,667,422,34,27,24,28
"Hijo(a)/ hijastro(a) (015)",17284,2407,994,8057,4917,332,202,248,127
"Yerno/ nuera (016)",299,11,,80,152,15,20,10,11
"Nieto(a) (017)",918,231,98,423,147,7,1,8,3
"Padres/ suegros (018)",253,113,,111,22,1,4,,2
"Otro(a) pariente (019)",2016,296,53,942,613,39,23,25,25
"Trabajador(a) del hogar (020)",29,4,,14,10,1,,,
"Pensionista (021)",21,1,,3,13,2,1,,1
"Otro(a) no pariente (022)",610,37,3,233,253,23,28,14,19
"Mujeres (024)",37653,10802,1107,17257,6585,597,539,361,405
"Jefe o Jefa (025)",5758,2462,9,2102,860,87,99,49,90
"Esposa(o)/ compa¤era(o) (026)",11753,4285,31,5306,1641,126,168,58,138
"Hijo(a)/ hijastro(a) (027)",15725,2588,931,7995,3352,309,213,215,122
"Yerno/ nuera (028)",397,40,,148,152,14,19,9,15
"Nieto(a) (029)",847,247,70,405,104,10,5,3,3
"Padres/ suegros (030)",689,568,,103,15,1,2,,
"Otro(a) pariente (031)",2011,529,64,983,338,41,17,22,17
"Trabajador(a) del hogar (032)",85,11,1,46,25,,,,2
"Pensionista (033)",13,1,,5,4,,,2,1
"Otro(a) no pariente (034)",375,71,1,164,94,9,16,3,17
,,,,,,,,,
"URBANA (036)",26147,3242,760,9754,8921,950,946,741,833
"Jefe o Jefa (037)",7235,766,9,2739,2590,223,332,193,383
"Esposa(o)/ compa¤era(o) (038)",4298,643,5,1736,1386,137,172,78,141
"Hijo(a)/ hijastro(a) (039)",10951,1216,630,3943,3774,463,329,387,209
"Yerno/ nuera (040)",312,9,,49,160,25,32,15,22
"Nieto(a) (041)",764,190,71,322,146,14,5,10,6
"Padres/ suegros (042)",368,206,,127,28,2,4,,1
"Otro(a) pariente (043)",1439,145,40,542,544,56,35,40,37
"Trabajador(a) del hogar (044)",87,7,1,47,29,1,,,2
"Pensionista (045)",26,2,,6,12,1,1,2,2
"Otro(a) no pariente (046)",667,58,4,243,252,28,36,16,30
