"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CHINCHA (000)",82934,70940,11994
"De 3 a 5 años (001)",11516,1337,10179
"De 6 a 11 años (002)",22537,21044,1493
"De 12 a 16 años (003)",19785,19676,109
"De 17 a 24 años (004)",29096,28883,213
"Hombres (005)",41981,35804,6177
"De 3 a 5 años (006)",5886,672,5214
"De 6 a 11 años (007)",11583,10790,793
"De 12 a 16 años (008)",10098,10042,56
"De 17 a 24 años (009)",14414,14300,114
"Mujeres (010)",40953,35136,5817
"De 3 a 5 años (011)",5630,665,4965
"De 6 a 11 años (012)",10954,10254,700
"De 12 a 16 años (013)",9687,9634,53
"De 17 a 24 años (014)",14682,14583,99
,,,
"URBANA (015)",73716,63138,10578
"De 3 a 5 años (016)",10198,1213,8985
"De 6 a 11 años (017)",20059,18748,1311
"De 12 a 16 años (018)",17659,17562,97
"De 17 a 24 años (019)",25800,25615,185
"Hombres (020)",37274,31833,5441
"De 3 a 5 años (021)",5201,603,4598
"De 6 a 11 años (022)",10293,9599,694
"De 12 a 16 años (023)",8999,8948,51
"De 17 a 24 años (024)",12781,12683,98
"Mujeres (025)",36442,31305,5137
"De 3 a 5 años (026)",4997,610,4387
"De 6 a 11 años (027)",9766,9149,617
"De 12 a 16 años (028)",8660,8614,46
"De 17 a 24 años (029)",13019,12932,87
,,,
"RURAL (030)",9218,7802,1416
"De 3 a 5 años (031)",1318,124,1194
"De 6 a 11 años (032)",2478,2296,182
"De 12 a 16 años (033)",2126,2114,12
"De 17 a 24 años (034)",3296,3268,28
"Hombres (035)",4707,3971,736
"De 3 a 5 años (036)",685,69,616
"De 6 a 11 años (037)",1290,1191,99
"De 12 a 16 años (038)",1099,1094,5
"De 17 a 24 años (039)",1633,1617,16
"Mujeres (040)",4511,3831,680
"De 3 a 5 años (041)",633,55,578
"De 6 a 11 años (042)",1188,1105,83
"De 12 a 16 años (043)",1027,1020,7
"De 17 a 24 años (044)",1663,1651,12
