"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PARURO (000)",9028,249,2060,3013,2611,1095
"Agric., ganadería, caza y silvicultura (001)",6493,195,1272,2040,2038,948
"Pesca (002)",1,,,1,,
"Explotación de minas y canteras (003)",46,,12,22,10,2
"Industrias manufactureras (004)",120,1,41,39,32,7
"Suministro de electricidad, gas y agua (005)",13,,6,6,1,
"Construcción (006)",370,5,142,139,74,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",387,16,107,157,83,24
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,,7,6,1,
"Comercio al por mayor (009)",12,1,3,6,2,
"Comercio al por menor (010)",361,15,97,145,80,24
"Hoteles y restaurantes (011)",277,6,76,79,88,28
"Trans., almac. y comunicaciones (012)",99,,37,43,18,1
"Activid.inmobil., empres. y alquileres (014)",66,,23,31,11,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",261,,78,114,65,4
"Enseñanza (016)",295,,92,144,59,
"Servicios sociales y de salud (017)",42,,12,28,2,
"Otras activ. serv.comun.soc y personales (018)",86,3,31,34,16,2
"Hogares privados con servicio doméstico (019)",74,19,33,10,4,8
"Actividad economica no especificada (021)",398,4,98,126,110,60
"Hombres (022)",6717,157,1499,2243,2000,818
"Agric., ganadería, caza y silvicultura (023)",5297,132,1044,1678,1683,760
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",43,,12,20,9,2
"Industrias manufactureras (026)",84,1,28,30,21,4
"Suministro de electricidad, gas y agua (027)",13,,6,6,1,
"Construcción (028)",364,5,140,137,73,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",128,9,38,45,26,10
"Venta, mant.y rep. veh.autom.y motoc. (030)",13,,6,6,1,
"Comercio al por mayor (031)",7,1,2,3,1,
"Comercio al por menor (032)",108,8,30,36,24,10
"Hoteles y restaurantes (033)",15,,10,3,1,1
"Trans., almac. y comunicaciones (034)",95,,35,42,17,1
"Activid.inmobil., empres. y alquileres (036)",57,,20,27,9,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",224,,59,103,58,4
"Enseñanza (038)",151,,37,66,48,
"Servicios sociales y de salud (039)",11,,2,7,2,
"Otras activ. serv.comun.soc y personales (040)",43,1,12,22,8,
"Hogares privados con servicio doméstico (041)",20,6,10,3,,1
"Actividad economica no especificada (043)",171,3,46,53,44,25
"Mujeres (045)",2311,92,561,770,611,277
