"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PALLASCA (000)",13589,2091,4295,3769,3434
"Asiste actualmente (001)",9003,973,4072,3217,741
"No asiste (002)",4586,1118,223,552,2693
"Hombres (004)",6938,1092,2157,1906,1783
"Asiste actualmente (005)",4644,521,2051,1658,414
"No asiste (006)",2294,571,106,248,1369
"Mujeres (008)",6651,999,2138,1863,1651
"Asiste actualmente (009)",4359,452,2021,1559,327
"No asiste (010)",2292,547,117,304,1324
,,,,,
"URBANA (012)",6789,991,2047,2012,1739
"Asiste actualmente (013)",4735,503,1970,1816,446
"No asiste (014)",2054,488,77,196,1293
"Hombres (016)",3485,543,1027,991,924
"Asiste actualmente (017)",2417,292,988,901,236
"No asiste (018)",1068,251,39,90,688
"Mujeres (020)",3304,448,1020,1021,815
"Asiste actualmente (021)",2318,211,982,915,210
"No asiste (022)",986,237,38,106,605
,,,,,
"RURAL (024)",6800,1100,2248,1757,1695
"Asiste actualmente (025)",4268,470,2102,1401,295
"No asiste (026)",2532,630,146,356,1400
"Hombres (028)",3453,549,1130,915,859
"Asiste actualmente (029)",2227,229,1063,757,178
"No asiste (030)",1226,320,67,158,681
"Mujeres (032)",3347,551,1118,842,836
"Asiste actualmente (033)",2041,241,1039,644,117
"No asiste (034)",1306,310,79,198,719
