"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHACHAPOYAS (000)",48870,865,14926,12646,9753,7240,3440
"Casa independiente (001)",44194,772,13712,11045,8760,6688,3217
"Departamento en edificio (002)",283,7,78,69,83,33,13
"Vivienda en quinta (003)",740,15,192,240,156,103,34
"Vivienda en casa de vecindad (004)",3505,69,897,1260,730,393,156
"Choza o cabaña (005)",110,2,32,22,14,21,19
"Vivienda improvisada (006)",17,,10,4,3,,
"Local no destinado para hab.humana (007)",14,,3,2,6,2,1
"Otro tipo (008)",7,,2,4,1,,
,,,,,,,
"URBANA (009)",33513,540,9689,9048,6953,5005,2278
"Casa independiente (010)",28954,449,8509,7471,5976,4475,2074
"Departamento en edificio (011)",283,7,78,69,83,33,13
"Vivienda en quinta (012)",740,15,192,240,156,103,34
"Vivienda en casa de vecindad (013)",3505,69,897,1260,730,393,156
"Vivienda improvisada (015)",17,,10,4,3,,
"Local no destinado para hab.humana (016)",10,,3,1,4,1,1
"Otro tipo (017)",4,,,3,1,,
,,,,,,,
"RURAL (018)",15357,325,5237,3598,2800,2235,1162
"Casa independiente (019)",15240,323,5203,3574,2784,2213,1143
"Choza o cabaña (023)",110,2,32,22,14,21,19
"Local no destinado para hab.humana (025)",4,,,1,2,1,
"Otro tipo (026)",3,,2,1,,,
