"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ROMAN (000)",90010,69701,7115,6027,7167
"Empleado (001)",20280,6644,3125,4634,5877
"Obrero (002)",10709,6851,1439,1199,1220
"Trabajador independiente (003)",48918,46922,1996,,
"Empleador o patrono (004)",1596,1231,220,107,38
"Trabajador familiar no remunerado (005)",7228,6774,335,87,32
"Trabajador del hogar (006)",1279,1279,,,
"De 06 a 14 años (008)",1270,1141,98,25,6
"Empleado (009)",140,112,19,6,3
"Obrero (010)",132,104,14,11,3
"Trabajador independiente (011)",316,290,26,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",610,563,39,8,
"Trabajador del hogar (014)",70,70,,,
"De 15 a 29 años (016)",30533,23698,3034,1827,1974
"Empleado (017)",7074,3205,1166,1175,1528
"Obrero (018)",4790,3038,760,577,415
"Trabajador independiente (019)",14492,13642,850,,
"Empleador o patrono (020)",556,425,82,34,15
"Trabajador familiar no remunerado (021)",2820,2587,176,41,16
"Trabajador del hogar (022)",801,801,,,
"De 30 a 44 años (024)",34105,25306,2641,2862,3296
"Empleado (025)",8777,2326,1371,2383,2697
"Obrero (026)",3663,2246,435,412,570
"Trabajador independiente (027)",18858,18183,675,,
"Empleador o patrono (028)",633,485,84,44,20
"Trabajador familiar no remunerado (029)",1904,1796,76,23,9
"Trabajador del hogar (030)",270,270,,,
"De 45 a 64 años (032)",20684,16341,1251,1263,1829
"Empleado (033)",4121,922,554,1043,1602
"Obrero (034)",1892,1276,211,186,219
"Trabajador independiente (035)",12771,12370,401,,
"Empleador o patrono (036)",359,286,46,24,3
"Trabajador familiar no remunerado (037)",1425,1371,39,10,5
"Trabajador del hogar (038)",116,116,,,
"De 65 y más años (040)",3418,3215,91,50,62
"Empleado (041)",168,79,15,27,47
"Obrero (042)",232,187,19,13,13
"Trabajador independiente (043)",2481,2437,44,,
"Empleador o patrono (044)",46,33,8,5,
"Trabajador familiar no remunerado (045)",469,457,5,5,2
"Trabajador del hogar (046)",22,22,,,
,,,,,
"URBANA (048)",81535,61816,6819,5920,6980
"Empleado (049)",20002,6546,3079,4596,5781
"Obrero (050)",9822,6206,1346,1140,1130
"Trabajador independiente (051)",43838,41938,1900,,
