"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BONGARA (000)",26676,493,8778,6827,5280,3601,1697
"Casa independiente (001)",25947,473,8539,6649,5106,3506,1674
"Departamento en edificio (002)",21,,4,4,6,6,1
"Vivienda en quinta (003)",157,1,48,38,42,26,2
"Vivienda en casa de vecindad (004)",370,15,119,92,93,38,13
"Choza o cabaña (005)",134,3,51,30,26,19,5
"Vivienda improvisada (006)",18,,7,6,2,3,
"Local no destinado para hab.humana (007)",29,1,10,8,5,3,2
,,,,,,,
"URBANA (009)",15732,270,4911,3884,3306,2276,1085
"Casa independiente (010)",15141,253,4724,3737,3160,2200,1067
"Departamento en edificio (011)",21,,4,4,6,6,1
"Vivienda en quinta (012)",157,1,48,38,42,26,2
"Vivienda en casa de vecindad (013)",370,15,119,92,93,38,13
"Vivienda improvisada (015)",18,,7,6,2,3,
"Local no destinado para hab.humana (016)",25,1,9,7,3,3,2
,,,,,,,
"RURAL (018)",10944,223,3867,2943,1974,1325,612
"Casa independiente (019)",10806,220,3815,2912,1946,1306,607
"Choza o cabaña (023)",134,3,51,30,26,19,5
"Local no destinado para hab.humana (025)",4,,1,1,2,,
