"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL NIETO (000)",72849,7968,23295,4339,37498
"Menos de 1 año (001)",1070,388,324,21,340
"De 1 a 14 años (002)",16860,4391,5350,661,6504
"De 15 a 29 años (003)",20035,1522,4366,1077,13113
"De 30 a 44 años (004)",17240,849,6742,1159,8581
"De 45 a 64 años (005)",12444,571,4791,1048,6093
"De 65 y mas años (006)",5200,247,1722,373,2867
"Hombres (008)",37266,3784,12643,2753,18259
"Menos de 1 año (009)",527,186,157,9,176
"De 1 a 14 años (010)",8710,2267,2748,346,3377
"De 15 a 29 años (011)",10049,615,2304,707,6444
"De 30 a 44 años (012)",8731,337,3710,787,3970
"De 45 a 64 años (013)",6519,257,2708,698,2900
"De 65 y mas años (014)",2730,122,1016,206,1392
"Mujeres (016)",35583,4184,10652,1586,19239
"Menos de 1 año (017)",543,202,167,12,164
"De 1 a 14 años (018)",8150,2124,2602,315,3127
"De 15 a 29 años (019)",9986,907,2062,370,6669
"De 30 a 44 años (020)",8509,512,3032,372,4611
"De 45 a 64 años (021)",5925,314,2083,350,3193
"De 65 y mas años (022)",2470,125,706,167,1475
,,,,,
"URBANA (024)",62797,6960,20903,3816,31362
"Menos de 1 año (025)",958,331,309,20,301
"De 1 a 14 años (026)",14848,3716,5085,623,5470
"De 15 a 29 años (027)",17540,1398,3839,974,11369
"De 30 a 44 años (028)",14881,799,5907,1038,7226
"De 45 a 64 años (029)",10445,499,4239,896,4868
"De 65 y mas años (030)",4125,217,1524,265,2128
"Hombres (032)",31575,3267,10988,2421,15065
"Menos de 1 año (033)",474,162,150,9,154
"De 1 a 14 años (034)",7628,1907,2613,328,2808
"De 15 a 29 años (035)",8611,561,1913,633,5522
"De 30 a 44 años (036)",7328,315,3082,707,3295
"De 45 a 64 años (037)",5379,215,2335,601,2270
"De 65 y mas años (038)",2155,107,895,143,1016
"Mujeres (040)",31222,3693,9915,1395,16297
"Menos de 1 año (041)",484,169,159,11,147
"De 1 a 14 años (042)",7220,1809,2472,295,2662
"De 15 a 29 años (043)",8929,837,1926,341,5847
"De 30 a 44 años (044)",7553,484,2825,331,3931
"De 45 a 64 años (045)",5066,284,1904,295,2598
"De 65 y mas años (046)",1970,110,629,122,1112
,,,,,
"RURAL (048)",10052,1008,2392,523,6136
"Menos de 1 año (049)",112,57,15,1,39
"De 1 a 14 años (050)",2012,675,265,38,1034
"De 15 a 29 años (051)",2495,124,527,103,1744
"De 30 a 44 años (052)",2359,50,835,121,1355
"De 45 a 64 años (053)",1999,72,552,152,1225
"De 65 y mas años (054)",1075,30,198,108,739
"Hombres (056)",5691,517,1655,332,3194
"Menos de 1 año (057)",53,24,7,,22
"De 1 a 14 años (058)",1082,360,135,18,569
"De 15 a 29 años (059)",1438,54,391,74,922
"De 30 a 44 años (060)",1403,22,628,80,675
"De 45 a 64 años (061)",1140,42,373,97,630
"De 65 y mas años (062)",575,15,121,63,376
"Mujeres (064)",4361,491,737,191,2942
"Menos de 1 año (065)",59,33,8,1,17
"De 1 a 14 años (066)",930,315,130,20,465
"De 15 a 29 años (067)",1057,70,136,29,822
"De 30 a 44 años (068)",956,28,207,41,680
"De 45 a 64 años (069)",859,30,179,55,595
"De 65 y mas años (070)",500,15,77,45,363
