"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MELGAR (000)",28102,75625,67027,,1248,88.6,1.7
"De 12 a 14 años (001)",2987,16,15,,2,93.8,12.5
"De 15 a 19 años (002)",3933,430,416,135,96.7,31.4,
"De 20 a 24 años (003)",3113,2395,2294,338,95.8,14.1,
"De 25 a 29 años (004)",2715,4444,4232,285,95.2,6.4,
"De 30 a 34 años (005)",2530,6489,6116,221,94.3,3.4,
"De 35 a 39 años (006)",2363,8168,7656,170,93.7,2.1,
"De 40 a 44 años (007)",2130,9149,8459,90,92.5,1,
"De 45 a 49 años (008)",1702,8167,7414,7,90.8,0.1,
"De 50 y más años (009)",6629,36367,30425,,83.7,,
"PEA (010)",10435,33522,30145,469,89.9,1.4,
"De 12 a 14 años (011)",106,3,3,1,100,33.3,
"De 15 a 19 años (012)",656,156,148,39,94.9,25,
"De 20 a 24 años (013)",1209,934,896,113,95.9,12.1,
"De 25 a 29 años (014)",1233,1880,1797,109,95.6,5.8,
"De 30 a 34 años (015)",1229,2969,2794,100,94.1,3.4,
"De 35 a 39 años (016)",1246,3996,3746,70,93.7,1.8,
"De 40 a 44 años (017)",1123,4538,4215,34,92.9,0.7,
"De 45 a 49 años (018)",927,4358,3959,3,90.8,0.1,
"De 50 y más años (019)",2706,14688,12587,,85.7,,
"Ocupada (020)",9956,32885,29568,441,89.9,1.3,
"De 12 a 14 años (021)",102,3,3,1,100,33.3,
"De 15 a 19 años (022)",573,137,129,35,94.2,25.5,
"De 20 a 24 años (023)",1079,879,842,103,95.8,11.7,
"De 25 a 29 años (024)",1136,1795,1714,103,95.5,5.7,
"De 30 a 34 años (025)",1178,2892,2732,94,94.5,3.3,
"De 35 a 39 años (026)",1198,3876,3639,69,93.9,1.8,
"De 40 a 44 años (027)",1093,4424,4103,33,92.7,0.7,
"De 45 a 49 años (028)",912,4295,3902,3,90.8,0.1,
"De 50 y más años (029)",2685,14584,12504,,85.7,,
"Desocupada (030)",479,637,577,28,90.6,4.4,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",83,19,19,4,100,21.1,
"De 20 a 24 años (033)",130,55,54,10,98.2,18.2,
"De 25 a 29 años (034)",97,85,83,6,97.6,7.1,
"De 30 a 34 años (035)",51,77,62,6,80.5,7.8,
