"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TRUJILLO (000)",177643,805409,173046,785917,4597,19492
"Casa independiente (001)",161897,748846,157377,729668,4520,19178
"Departamento en edificio (002)",9320,33366,9320,33366,,
"Vivienda en quinta (003)",3028,11458,3028,11458,,
"Vivienda en casa de vecindad (004)",1829,6924,1829,6924,,
"Choza o cabaña (005)",71,299,,,71,299
"Vivienda improvisada (006)",1099,3300,1099,3300,,
"Local no dest.para hab. humana (007)",374,1122,369,1108,5,14
"Otro tipo (008)",25,94,24,93,1,1
