"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCARTAMBO (000)",15491,14021,632,209,629
"Empleado (001)",845,265,67,97,416
"Obrero (002)",1347,856,185,99,207
"Trabajador independiente (003)",9191,8898,293,,
"Empleador o patrono (004)",197,180,13,2,2
"Trabajador familiar no remunerado (005)",3792,3703,74,11,4
"Trabajador del hogar (006)",119,119,,,
"De 06 a 14 años (008)",455,441,12,2,
"Empleado (009)",6,6,,,
"Obrero (010)",14,13,,1,
"Trabajador independiente (011)",50,48,2,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",363,352,10,1,
"Trabajador del hogar (014)",21,21,,,
"De 15 a 29 años (016)",5248,4760,228,65,195
"Empleado (017)",310,143,22,25,120
"Obrero (018)",549,355,84,36,74
"Trabajador independiente (019)",2532,2444,88,,
"Empleador o patrono (020)",53,49,4,,
"Trabajador familiar no remunerado (021)",1740,1705,30,4,1
"Trabajador del hogar (022)",64,64,,,
"De 30 a 44 años (024)",5320,4702,235,99,284
"Empleado (025)",371,78,33,53,207
"Obrero (026)",464,283,64,42,75
"Trabajador independiente (027)",3450,3337,113,,
"Empleador o patrono (028)",78,70,6,1,1
"Trabajador familiar no remunerado (029)",944,921,19,3,1
"Trabajador del hogar (030)",13,13,,,
"De 45 a 64 años (032)",3517,3208,136,38,135
"Empleado (033)",148,37,11,18,82
"Obrero (034)",275,171,34,19,51
"Trabajador independiente (035)",2447,2368,79,,
"Empleador o patrono (036)",47,44,2,,1
"Trabajador familiar no remunerado (037)",583,571,10,1,1
"Trabajador del hogar (038)",17,17,,,
"De 65 y más años (040)",951,910,21,5,15
"Empleado (041)",10,1,1,1,7
"Obrero (042)",45,34,3,1,7
"Trabajador independiente (043)",712,701,11,,
"Empleador o patrono (044)",18,16,1,1,
"Trabajador familiar no remunerado (045)",162,154,5,2,1
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",2938,2137,197,113,491
"Empleado (049)",601,132,46,58,365
"Obrero (050)",424,200,52,48,124
"Trabajador independiente (051)",1475,1391,84,,
"Empleador o patrono (052)",57,50,6,1,
"Trabajador familiar no remunerado (053)",319,302,9,6,2
"Trabajador del hogar (054)",62,62,,,
