"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia LIMA (000)",1854950,1799207,1718091,72969,8147,55743,7035,7311,34314,7083
"Casa independiente (001)",1430653,1392090,1339965,46373,5752,38563,3077,6155,25074,4257
"Departamento en edificio (002)",285936,275663,254999,18912,1752,10273,3481,941,3721,2130
"Vivienda en quinta (003)",61664,59581,56726,2696,159,2083,362,141,1281,299
"Vivienda en casa de vecindad (004)",25300,24352,23261,1011,80,948,115,74,644,115
"Choza o cabaña (005)",362,271,177,77,17,91,,,81,10
"Vivienda improvisada (006)",41070,37285,32998,3900,387,3785,,,3513,272
"Local no dest.para hab. humana (007)",4286,4286,4286,,,,,,,
"Otro tipo (008)",5679,5679,5679,,,,,,,
,,,,,,,,,,
"URBANA (009)",1850958,1795746,1715402,72536,7808,55212,7025,7195,33960,7032
"Casa independiente (010)",1427040,1388917,1337470,46017,5430,38123,3067,6039,24801,4216
"Departamento en edificio (011)",285936,275663,254999,18912,1752,10273,3481,941,3721,2130
"Vivienda en quinta (012)",61664,59581,56726,2696,159,2083,362,141,1281,299
"Vivienda en casa de vecindad (013)",25300,24352,23261,1011,80,948,115,74,644,115
"Vivienda improvisada (015)",41070,37285,32998,3900,387,3785,,,3513,272
"Local no dest.para hab. humana (016)",4271,4271,4271,,,,,,,
"Otro tipo (017)",5677,5677,5677,,,,,,,
,,,,,,,,,,
"RURAL (018)",3992,3461,2689,433,339,531,10,116,354,51
"Casa independiente (019)",3613,3173,2495,356,322,440,10,116,273,41
"Choza o cabaña (023)",362,271,177,77,17,91,,,81,10
"Local no dest.para hab. humana (025)",15,15,15,,,,,,,
"Otro tipo (026)",2,2,2,,,,,,,
