"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JULCAN (000)",7873,1074,15,4642,1537,151,161,54,239
"Empleado (001)",483,14,,43,122,71,97,16,120
"Obrero (002)",468,68,,273,103,12,4,4,4
"Trabajador independiente (003)",5363,768,6,3439,906,60,49,28,107
"Empleador o patrono (004)",43,2,,27,10,1,,,3
"Trabajador familiar no remunerado (005)",1450,203,9,827,386,7,9,5,4
"Trabajador del hogar (006)",66,19,,33,10,,2,1,1
"Hombres (008)",6988,869,10,4341,1377,83,102,43,163
"Empleado (009)",217,2,,16,57,17,53,10,62
"Obrero (010)",416,52,,244,97,12,4,4,3
"Trabajador independiente (011)",5091,705,6,3312,864,48,39,25,92
"Empleador o patrono (012)",42,2,,26,10,1,,,3
"Trabajador familiar no remunerado (013)",1215,108,4,738,348,5,6,4,2
"Trabajador del hogar (014)",7,,,5,1,,,,1
"Mujeres (016)",885,205,5,301,160,68,59,11,76
"Empleado (017)",266,12,,27,65,54,44,6,58
"Obrero (018)",52,16,,29,6,,,,1
"Trabajador independiente (019)",272,63,,127,42,12,10,3,15
"Empleador o patrono (020)",1,,,1,,,,,
"Trabajador familiar no remunerado (021)",235,95,5,89,38,2,3,1,2
"Trabajador del hogar (022)",59,19,,28,9,,2,1,
,,,,,,,,,
"URBANA (024)",1164,118,,461,275,50,92,23,145
"Empleado (025)",241,8,,17,50,12,60,11,83
"Obrero (026)",176,35,,77,48,8,3,2,3
"Trabajador independiente (027)",619,56,,316,135,29,22,7,54
"Empleador o patrono (028)",26,2,,13,8,,,,3
"Trabajador familiar no remunerado (029)",76,7,,28,32,1,5,2,1
"Trabajador del hogar (030)",26,10,,10,2,,2,1,1
"Hombres (032)",848,58,,362,236,37,48,13,94
"Empleado (033)",131,1,,7,37,6,30,5,45
"Obrero (034)",152,24,,68,45,8,3,2,2
"Trabajador independiente (035)",487,28,,258,118,22,13,5,43
"Empleador o patrono (036)",25,2,,12,8,,,,3
"Trabajador familiar no remunerado (037)",52,3,,17,28,1,2,1,
"Trabajador del hogar (038)",1,,,,,,,,1
"Mujeres (040)",316,60,,99,39,13,44,10,51
"Empleado (041)",110,7,,10,13,6,30,6,38
"Obrero (042)",24,11,,9,3,,,,1
"Trabajador independiente (043)",132,28,,58,17,7,9,2,11
"Empleador o patrono (044)",1,,,1,,,,,
"Trabajador familiar no remunerado (045)",24,4,,11,4,,3,1,1
"Trabajador del hogar (046)",25,10,,10,2,,2,1,
,,,,,,,,,
"RURAL (048)",6709,956,15,4181,1262,101,69,31,94
"Empleado (049)",242,6,,26,72,59,37,5,37
"Obrero (050)",292,33,,196,55,4,1,2,1
"Trabajador independiente (051)",4744,712,6,3123,771,31,27,21,53
"Empleador o patrono (052)",17,,,14,2,1,,,
"Trabajador familiar no remunerado (053)",1374,196,9,799,354,6,4,3,3
"Trabajador del hogar (054)",40,9,,23,8,,,,
"Hombres (056)",6140,811,10,3979,1141,46,54,30,69
"Empleado (057)",86,1,,9,20,11,23,5,17
"Obrero (058)",264,28,,176,52,4,1,2,1
"Trabajador independiente (059)",4604,677,6,3054,746,26,26,20,49
"Empleador o patrono (060)",17,,,14,2,1,,,
"Trabajador familiar no remunerado (061)",1163,105,4,721,320,4,4,3,2
"Trabajador del hogar (062)",6,,,5,1,,,,
"Mujeres (064)",569,145,5,202,121,55,15,1,25
"Empleado (065)",156,5,,17,52,48,14,,20
"Obrero (066)",28,5,,20,3,,,,
"Trabajador independiente (067)",140,35,,69,25,5,1,1,4
"Trabajador familiar no remunerado (069)",211,91,5,78,34,2,,,1
"Trabajador del hogar (070)",34,9,,18,7,,,,
