"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2251,2178,8,314,311,331,573,399,170,72,73,9234
"De 12 a 14 años (001)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (002)",54,48,,41,6,1,,,,,6,56
"De 20 a 24 años (003)",153,130,,75,32,13,9,1,,,23,222
"De 25 a 29 años (004)",207,194,,47,75,41,30,1,,,13,453
"De 30 a 34 años (005)",234,229,,32,58,61,69,7,2,,5,694
"De 35 a 39 años (006)",249,243,,29,39,45,83,40,6,1,6,923
"De 40 a 44 años (007)",220,217,,18,30,31,74,49,11,4,3,947
"De 45 a 49 años (008)",182,180,1,15,13,21,54,52,16,8,2,894
"De 50 y más años (009)",948,935,7,55,58,118,254,249,135,59,13,5043
"Conviviente (010)",949,931,2,139,167,137,258,151,50,27,18,3721
"De 12 a 14 años (011)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (012)",32,26,,22,3,1,,,,,6,31
"De 20 a 24 años (013)",93,91,,49,23,10,8,1,,,2,165
"De 25 a 29 años (014)",140,138,,27,56,29,25,1,,,2,336
"De 30 a 34 años (015)",146,145,,14,37,39,46,7,2,,1,467
"De 35 a 39 años (016)",144,143,,10,22,20,55,30,5,1,1,599
"De 40 a 44 años (017)",104,103,,4,13,15,35,25,7,4,1,494
"De 45 a 49 años (018)",72,72,,3,6,8,16,27,9,3,,395
"De 50 y más años (019)",215,211,2,8,7,15,73,60,27,19,4,1232
"Separado(a) (020)",118,117,,26,18,23,23,15,8,4,1,438
"De 15 a 19 años (022)",3,3,,3,,,,,,,,3
"De 20 a 24 años (023)",10,10,,7,3,,,,,,,13
"De 25 a 29 años (024)",13,13,,7,5,1,,,,,,20
"De 30 a 34 años (025)",10,10,,2,3,3,2,,,,,26
