"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia ANTABAMBA (000)",5867,5152,3789,1025,338,715,7,138,562,8
"Casa independiente (001)",5226,4556,3471,809,276,670,7,137,518,8
"Vivienda en casa de vecindad (004)",58,55,47,4,4,3,,1,2,
"Choza o cabaña (005)",574,534,266,211,57,40,,,40,
"Vivienda improvisada (006)",4,2,,1,1,2,,,2,
"Local no dest.para hab. humana (007)",5,5,5,,,,,,,
,,,,,,,,,,
"URBANA (009)",3599,3107,2522,488,97,492,6,118,364,4
"Casa independiente (010)",3532,3045,2470,483,92,487,6,117,360,4
"Vivienda en casa de vecindad (013)",58,55,47,4,4,3,,1,2,
"Vivienda improvisada (015)",4,2,,1,1,2,,,2,
"Local no dest.para hab. humana (016)",5,5,5,,,,,,,
,,,,,,,,,,
"RURAL (018)",2268,2045,1267,537,241,223,1,20,198,4
"Casa independiente (019)",1694,1511,1001,326,184,183,1,20,158,4
"Choza o cabaña (023)",574,534,266,211,57,40,,,40,
