"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ESPINAR (000)",50,38,12
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",11,11,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",5,4,1
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",26,17,9
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,3,2
