"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",43089,41865,13232,4412,3999,3466,5428,4427,3481,3420,1224,144055
"De 12 a 14 años (001)",5294,5249,5227,18,4,,,,,,45,26
"De 15 a 19 años (002)",5825,5737,4972,652,92,18,3,,,,88,902
"De 20 a 24 años (003)",4575,4213,1457,1409,878,359,102,8,,,362,4723
"De 25 a 29 años (004)",3929,3662,477,855,915,703,609,93,10,,267,8078
"De 30 a 34 años (005)",3639,3503,228,470,725,723,910,367,75,5,136,11103
"De 35 a 39 años (006)",3527,3448,157,285,450,568,1024,639,268,57,79,14392
"De 40 a 44 años (007)",3207,3135,159,176,298,331,764,705,467,235,72,16225
"De 45 a 49 años (008)",2854,2804,112,131,190,238,568,648,548,369,50,16762
"De 50 y más años (009)",10239,10114,443,416,447,526,1448,1967,2113,2754,125,71844
"PEA (010)",7396,7052,1955,1064,940,684,992,611,426,380,344,21310
"De 12 a 14 años (011)",224,218,217,1,,,,,,,6,1
"De 15 a 19 años (012)",882,866,753,94,13,4,2,,,,16,140
"De 20 a 24 años (013)",976,882,447,262,117,38,17,1,,,94,687
"De 25 a 29 años (014)",859,763,189,228,170,91,77,8,,,96,1222
"De 30 a 34 años (015)",875,825,96,167,209,139,141,60,12,1,50,2120
"De 35 a 39 años (016)",779,751,66,102,155,135,177,83,30,3,28,2419
"De 40 a 44 años (017)",751,731,48,62,119,106,187,125,58,26,20,3034
"De 45 a 49 años (018)",640,626,38,51,68,80,143,99,93,54,14,3125
"De 50 y más años (019)",1410,1390,101,97,89,91,248,235,233,296,20,8562
"Ocupada (020)",6934,6640,1711,1009,907,665,962,597,414,375,294,20746
"De 12 a 14 años (021)",178,174,173,1,,,,,,,4,1
