"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia EL DORADO (000)",16646,2559,5087,4259,4741
"Asiste actualmente (001)",8500,681,4430,2726,663
"No asiste (002)",8146,1878,657,1533,4078
"Hombres (004)",8714,1312,2576,2321,2505
"Asiste actualmente (005)",4517,332,2238,1521,426
"No asiste (006)",4197,980,338,800,2079
"Mujeres (008)",7932,1247,2511,1938,2236
"Asiste actualmente (009)",3983,349,2192,1205,237
"No asiste (010)",3949,898,319,733,1999
,,,,,
"URBANA (012)",6118,838,1841,1743,1696
"Asiste actualmente (013)",3570,279,1660,1312,319
"No asiste (014)",2548,559,181,431,1377
"Hombres (016)",3115,412,933,891,879
"Asiste actualmente (017)",1870,140,852,689,189
"No asiste (018)",1245,272,81,202,690
"Mujeres (020)",3003,426,908,852,817
"Asiste actualmente (021)",1700,139,808,623,130
"No asiste (022)",1303,287,100,229,687
,,,,,
"RURAL (024)",10528,1721,3246,2516,3045
"Asiste actualmente (025)",4930,402,2770,1414,344
"No asiste (026)",5598,1319,476,1102,2701
"Hombres (028)",5599,900,1643,1430,1626
"Asiste actualmente (029)",2647,192,1386,832,237
"No asiste (030)",2952,708,257,598,1389
"Mujeres (032)",4929,821,1603,1086,1419
"Asiste actualmente (033)",2283,210,1384,582,107
"No asiste (034)",2646,611,219,504,1312
