"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PUNO (000)",6046,2009,4037
"Sin nivel (001)",129,15,114
"Educación inicial (002)",6,,6
"Primaria (003)",824,202,622
"Secundaria (004)",2652,1040,1612
"Superior no univ. incompleta (005)",280,90,190
"Superior no univ. completa (006)",658,211,447
"Superior univ. incompleta (007)",281,73,208
"Superior univ. completa (008)",1216,378,838
"Hombres (010)",4109,1249,2860
"Sin nivel (011)",84,10,74
"Educación inicial (012)",3,,3
"Primaria (013)",631,126,505
"Secundaria (014)",2009,719,1290
"Superior no univ. incompleta (015)",167,52,115
"Superior no univ. completa (016)",350,103,247
"Superior univ. incompleta (017)",192,43,149
"Superior univ. completa (018)",673,196,477
"Mujeres (020)",1937,760,1177
"Sin nivel (021)",45,5,40
"Educación inicial (022)",3,,3
"Primaria (023)",193,76,117
"Secundaria (024)",643,321,322
"Superior no univ. incompleta (025)",113,38,75
"Superior no univ. completa (026)",308,108,200
"Superior univ. incompleta (027)",89,30,59
"Superior univ. completa (028)",543,182,361
,,,
"AREA URBANA (030)",3823,1160,2663
"Sin nivel (031)",61,8,53
"Educación inicial (032)",4,,4
"Primaria (033)",303,50,253
"Secundaria (034)",1332,464,868
"Superior no univ. incompleta (035)",216,67,149
"Superior no univ. completa (036)",513,157,356
"Superior univ. incompleta (037)",265,70,195
"Superior univ. completa (038)",1129,344,785
"Hombres (040)",2291,625,1666
"Sin nivel (041)",29,3,26
"Educación inicial (042)",2,,2
"Primaria (043)",203,27,176
"Secundaria (044)",907,279,628
"Superior no univ. incompleta (045)",115,34,81
"Superior no univ. completa (046)",247,67,180
"Superior univ. incompleta (047)",178,41,137
"Superior univ. completa (048)",610,174,436
"Mujeres (050)",1532,535,997
"Sin nivel (051)",32,5,27
"Educación inicial (052)",2,,2
"Primaria (053)",100,23,77
"Secundaria (054)",425,185,240
"Superior no univ. incompleta (055)",101,33,68
"Superior no univ. completa (056)",266,90,176
"Superior univ. incompleta (057)",87,29,58
"Superior univ. completa (058)",519,170,349
,,,
"AREA RURAL (060)",2223,849,1374
"Sin nivel (061)",68,7,61
"Educación inicial (062)",2,,2
"Primaria (063)",521,152,369
"Secundaria (064)",1320,576,744
"Superior no univ. incompleta (065)",64,23,41
"Superior no univ. completa (066)",145,54,91
"Superior univ. incompleta (067)",16,3,13
"Superior univ. completa (068)",87,34,53
"Hombres (070)",1818,624,1194
"Sin nivel (071)",55,7,48
"Educación inicial (072)",1,,1
"Primaria (073)",428,99,329
"Secundaria (074)",1102,440,662
"Superior no univ. incompleta (075)",52,18,34
"Superior no univ. completa (076)",103,36,67
"Superior univ. incompleta (077)",14,2,12
"Superior univ. completa (078)",63,22,41
"Mujeres (080)",405,225,180
"Sin nivel (081)",13,,13
"Educación inicial (082)",1,,1
"Primaria (083)",93,53,40
"Secundaria (084)",218,136,82
"Superior no univ. incompleta (085)",12,5,7
"Superior no univ. completa (086)",42,18,24
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",24,12,12
