"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CARAVELI",,,,,,,,,
"Viviendas particulares (001)",922,873,25,1,7,1,,,15
"Ocupantes presentes (002)",3548,3388,68,7,25,4,,,56
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",854,805,25,1,7,1,,,15
"Ocupantes presentes (005)",3337,3177,68,7,25,4,,,56
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",20,20,,,,,,,
"Ocupantes presentes (011)",53,53,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",35,35,,,,,,,
"Ocupantes presentes (014)",106,106,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",12,12,,,,,,,
"Ocupantes presentes (020)",49,49,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",823,779,24,1,5,1,,,13
"Ocupantes presentes (029)",3236,3096,65,7,19,4,,,45
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",755,711,24,1,5,1,,,13
"Ocupantes presentes (032)",3025,2885,65,7,19,4,,,45
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",20,20,,,,,,,
"Ocupantes presentes (038)",53,53,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",35,35,,,,,,,
"Ocupantes presentes (041)",106,106,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",12,12,,,,,,,
"Ocupantes presentes (047)",49,49,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",99,94,1,,2,,,,2
"Ocupantes presentes (056)",312,292,3,,6,,,,11
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",99,94,1,,2,,,,2
"Ocupantes presentes (059)",312,292,3,,6,,,,11
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
