"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia TOCACHE (000)",34472,4497,9332,8600,12043
"Asiste actualmente (001)",20461,1547,8702,7146,3066
"No asiste (002)",14011,2950,630,1454,8977
"Hombres (004)",18832,2308,4818,4527,7179
"Asiste actualmente (005)",10787,784,4494,3715,1794
"No asiste (006)",8045,1524,324,812,5385
"Mujeres (008)",15640,2189,4514,4073,4864
"Asiste actualmente (009)",9674,763,4208,3431,1272
"No asiste (010)",5966,1426,306,642,3592
,,,,,
"URBANA (012)",17261,2037,4360,4501,6363
"Asiste actualmente (013)",11182,846,4168,4005,2163
"No asiste (014)",6079,1191,192,496,4200
"Hombres (016)",9237,1022,2218,2288,3709
"Asiste actualmente (017)",5831,441,2123,2013,1254
"No asiste (018)",3406,581,95,275,2455
"Mujeres (020)",8024,1015,2142,2213,2654
"Asiste actualmente (021)",5351,405,2045,1992,909
"No asiste (022)",2673,610,97,221,1745
,,,,,
"RURAL (024)",17211,2460,4972,4099,5680
"Asiste actualmente (025)",9279,701,4534,3141,903
"No asiste (026)",7932,1759,438,958,4777
"Hombres (028)",9595,1286,2600,2239,3470
"Asiste actualmente (029)",4956,343,2371,1702,540
"No asiste (030)",4639,943,229,537,2930
"Mujeres (032)",7616,1174,2372,1860,2210
"Asiste actualmente (033)",4323,358,2163,1439,363
"No asiste (034)",3293,816,209,421,1847
