"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",64185,1617,22945,21855,14179,3589
"Empleado (001)",11212,103,3961,4784,2244,120
"Obrero (002)",12846,280,5172,4134,2686,574
"Trabajador independiente (003)",27459,288,7552,9921,7352,2346
"Empleador o patrono (004)",1417,1,305,491,471,149
"Trabajador familiar no remunerado (005)",7790,788,4106,1673,922,301
"Trabajador del hogar (006)",1460,78,825,319,206,32
"Desocupado (008)",2001,79,1024,533,298,67
"Hombres (009)",48781,1227,17270,16042,11081,3161
"Empleado (010)",6253,70,2014,2647,1430,92
"Obrero (011)",11438,251,4622,3637,2411,517
"Trabajador independiente (012)",22524,231,6300,7862,6010,2121
"Empleador o patrono (013)",1163,1,248,396,380,138
"Trabajador familiar no remunerado (014)",5873,619,3360,1089,577,228
"Trabajador del hogar (015)",65,7,37,11,8,2
"Desocupado (017)",1465,48,689,400,265,63
"Mujeres (018)",15404,390,5675,5813,3098,428
"Empleado (019)",4959,33,1947,2137,814,28
"Obrero (020)",1408,29,550,497,275,57
"Trabajador independiente (021)",4935,57,1252,2059,1342,225
"Empleador o patrono (022)",254,,57,95,91,11
"Trabajador familiar no remunerado (023)",1917,169,746,584,345,73
"Trabajador del hogar (024)",1395,71,788,308,198,30
"Desocupado (026)",536,31,335,133,33,4
,,,,,,
"URBANA (027)",35055,796,12084,12864,7871,1440
"Empleado (028)",10168,101,3606,4311,2037,113
"Obrero (029)",5216,114,1932,1746,1195,229
"Trabajador independiente (030)",14336,210,4194,5338,3704,890
"Empleador o patrono (031)",1005,1,246,357,314,87
"Trabajador familiar no remunerado (032)",1815,279,734,465,274,63
"Trabajador del hogar (033)",1171,62,685,253,151,20
"Desocupado (035)",1344,29,687,394,196,38
"Hombres (036)",23584,552,7945,8343,5528,1216
"Empleado (037)",5656,70,1846,2379,1275,86
"Obrero (038)",4687,102,1742,1549,1083,211
"Trabajador independiente (039)",10474,167,3223,3667,2654,763
"Empleador o patrono (040)",779,1,190,269,238,81
"Trabajador familiar no remunerado (041)",994,188,476,189,103,38
"Trabajador del hogar (042)",54,6,29,10,7,2
"Desocupado (044)",940,18,439,280,168,35
"Mujeres (045)",11471,244,4139,4521,2343,224
"Empleado (046)",4512,31,1760,1932,762,27
"Obrero (047)",529,12,190,197,112,18
"Trabajador independiente (048)",3862,43,971,1671,1050,127
"Empleador o patrono (049)",226,,56,88,76,6
"Trabajador familiar no remunerado (050)",821,91,258,276,171,25
"Trabajador del hogar (051)",1117,56,656,243,144,18
"Desocupado (053)",404,11,248,114,28,3
,,,,,,
"RURAL (054)",29130,821,10861,8991,6308,2149
"Empleado (055)",1044,2,355,473,207,7
"Obrero (056)",7630,166,3240,2388,1491,345
"Trabajador independiente (057)",13123,78,3358,4583,3648,1456
"Empleador o patrono (058)",412,,59,134,157,62
"Trabajador familiar no remunerado (059)",5975,509,3372,1208,648,238
"Trabajador del hogar (060)",289,16,140,66,55,12
"Desocupado (062)",657,50,337,139,102,29
"Hombres (063)",25197,675,9325,7699,5553,1945
"Empleado (064)",597,,168,268,155,6
"Obrero (065)",6751,149,2880,2088,1328,306
"Trabajador independiente (066)",12050,64,3077,4195,3356,1358
"Empleador o patrono (067)",384,,58,127,142,57
"Trabajador familiar no remunerado (068)",4879,431,2884,900,474,190
"Trabajador del hogar (069)",11,1,8,1,1,
"Desocupado (071)",525,30,250,120,97,28
"Mujeres (072)",3933,146,1536,1292,755,204
"Empleado (073)",447,2,187,205,52,1
"Obrero (074)",879,17,360,300,163,39
"Trabajador independiente (075)",1073,14,281,388,292,98
"Empleador o patrono (076)",28,,1,7,15,5
"Trabajador familiar no remunerado (077)",1096,78,488,308,174,48
"Trabajador del hogar (078)",278,15,132,65,54,12
"Desocupado (080)",132,20,87,19,5,1
