"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PICOTA (000)",9582,9271,45,1867,1838,1566,1971,1141,599,244,311,33924
"De 12 a 14 años (001)",22,10,,10,,,,,,,12,10
"De 15 a 19 años (002)",580,514,12,424,70,7,1,,,,66,589
"De 20 a 24 años (003)",1230,1143,9,650,348,114,22,,,,87,1781
"De 25 a 29 años (004)",1375,1324,5,363,520,288,138,9,1,,51,2915
"De 30 a 34 años (005)",1192,1164,4,176,369,302,262,46,4,1,28,3293
"De 35 a 39 años (006)",1160,1144,3,90,203,326,356,141,20,5,16,4125
"De 40 a 44 años (007)",1042,1032,4,51,147,224,359,180,52,15,10,4333
"De 45 a 49 años (008)",723,717,1,26,76,123,233,169,72,17,6,3435
"De 50 y más años (009)",2258,2223,7,77,105,182,600,596,450,206,35,13443
"PEA (010)",2941,2825,11,564,608,529,609,314,142,48,116,9745
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",119,102,3,84,13,1,1,,,,17,117
"De 20 a 24 años (013)",298,259,2,154,80,17,6,,,,39,390
"De 25 a 29 años (014)",399,372,1,127,135,81,24,4,,,27,766
"De 30 a 34 años (015)",413,402,1,89,141,94,64,12,,1,11,1019
"De 35 a 39 años (016)",449,438,2,44,93,133,121,40,4,1,11,1444
"De 40 a 44 años (017)",402,400,1,27,74,89,134,54,19,2,2,1544
"De 45 a 49 años (018)",277,275,,12,37,56,86,61,17,6,2,1224
"De 50 y más años (019)",581,576,1,26,35,58,173,143,102,38,5,3240
"Ocupada (020)",2895,2783,10,554,600,521,600,310,140,48,112,9613
"De 12 a 14 años (021)",3,1,,1,,,,,,,2,1
